EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,5,6,4,5,4,5,8,12,majandus; eesti; sotsiaalne; eurotsoon; intressimäär; rahaliit; eelarvepoliitika; heaolu; föderatsioon; kroon
8,7,5,6,4,5,4,5,8,12,majandus; eesti; sotsiaalne; eurotsoon; intressimäär; rahaliit; eelarvepoliitika; heaolu; föderatsioon; kroon
8,7,6,6,4,5,4,6,8,12,majandus; eesti; sotsiaalne; eurotsoon; intressimäär; rahaliit; eelarvepoliitika; heaolu; föderatsioon; kroon
9,9,6,7,5,6,4,6,8,12,majandus; eesti; sotsiaalne; eurotsoon; intressimäär; rahaliit; eelarvepoliitika; heaolu; föderatsioon; kroon
8,10,7,7,5,8,6,6,8,12,majandus; eesti; sotsiaalne; eurotsoon; intressimäär; rahaliit; eelarvepoliitika; heaolu; föderatsioon; kroon
7,9,9,7,6,9,5,9,8,12,majandus; eurotsoon; intressimäär; heaolu; föderatsioon; kroon; eesti; sotsiaalne; rahaliit; eelarvepoliitika
7,9,6,8,5,9,9,8,8,12,majandus; eurotsoon; intressimäär; heaolu; föderatsioon; kroon; eesti; sotsiaalne; rahaliit; eelarvepoliitika
7,10,8,9,4,9,8,10,8,12,majandus; eurotsoon; intressimäär; heaolu; föderatsioon; kroon; eesti; sotsiaalne; rahaliit; eelarvepoliitika
6,8,7,8,4,8,7,6,8,12,majandus; eesti; sotsiaalne; eurotsoon; intressimäär; rahaliit; eelarvepoliitika; heaolu; föderatsioon; kroon
6,9,7,7,5,7,7,8,6,12,majandus; eesti; sotsiaalne; eurotsoon; intressimäär; rahaliit; eelarvepoliitika; heaolu; föderatsioon; kroon
7,9,8,5,6,7,7,6,6,12,majandus; eurotsoon; intressimäär; heaolu; föderatsioon; kroon; eesti; sotsiaalne; rahaliit; eelarvepoliitika
