EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
13,9,5,10,9,9,10,11,7,15,tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; graafikatraditsioon; graafikatriennaal; kuraator
13,8,8,11,9,9,10,11,7,15,tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; graafikatraditsioon; graafikatriennaal; kuraator
12,9,8,11,9,9,10,11,7,15,tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; graafikatraditsioon; graafikatriennaal; kuraator
11,9,7,11,9,9,9,12,8,15,tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; graafikatraditsioon; graafikatriennaal; kuraator
11,10,9,12,8,11,10,11,8,15,tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; graafikatraditsioon; graafikatriennaal; kuraator
11,10,8,12,9,11,11,11,9,15,tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; graafikatraditsioon; graafikatriennaal; kuraator
10,11,8,10,11,13,11,12,10,15,tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; graafikatraditsioon; graafikatriennaal; kuraator
9,10,13,11,11,10,10,13,10,15,tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; graafikatraditsioon; graafikatriennaal; kuraator
10,9,10,11,12,10,9,10,10,15,tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; graafikatraditsioon; graafikatriennaal; kuraator
9,9,11,11,12,9,8,11,10,15,tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; graafikatraditsioon; graafikatriennaal; kuraator
8,10,13,12,12,9,8,12,12,15,tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; graafikatraditsioon; graafikatriennaal; kuraator
