EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,7,8,6,3,7,6,8,8,11,lilleäri; perekond; laulukoor; näitleja; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
9,8,9,6,3,7,6,9,8,11,lilleäri; perekond; laulukoor; näitleja; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
10,9,9,6,3,7,6,9,8,11,lilleäri; perekond; laulukoor; näitleja; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
10,10,9,6,3,9,6,9,8,11,lilleäri; perekond; laulukoor; näitleja; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
9,10,11,6,3,9,7,11,8,11,lilleäri; perekond; laulukoor; näitleja; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
9,8,8,7,5,8,7,11,8,11,lilleäri; perekond; lapsepõlv; laulukoor; näitleja; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
8,8,10,8,6,10,9,11,8,11,lilleäri; perekond; laulukoor; näitleja; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
8,10,8,9,6,9,7,10,7,11,lilleäri; perekond; näitleja; laulukoor; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
6,10,10,10,7,9,9,9,9,11,lilleäri; perekond; näitleja; lapsepõlv; laulukoor; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
7,10,11,10,7,10,9,9,8,11,lilleäri; laulukoor; perekond; näitleja; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
6,10,9,10,8,9,9,9,8,11,lilleäri; perekond; näitleja; laulukoor; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
