EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,12,9,10,7,9,8,9,9,15,lübeck; rõdu; suurgilt; leimus; erakogu; ekspositsioon; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
11,12,10,10,7,9,9,9,9,15,lübeck; rõdu; suurgilt; leimus; erakogu; ekspositsioon; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
11,12,11,10,7,9,9,9,9,15,lübeck; rõdu; suurgilt; leimus; erakogu; ekspositsioon; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
11,12,11,11,7,10,9,9,9,15,lübeck; rõdu; suurgilt; leimus; erakogu; ekspositsioon; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
11,12,11,11,7,10,9,9,9,15,lübeck; rõdu; suurgilt; leimus; erakogu; ekspositsioon; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
11,12,11,11,9,9,10,9,9,15,lübeck; rõdu; suurgilt; leimus; erakogu; ekspositsioon; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
13,13,13,11,10,10,10,9,9,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
12,9,13,9,9,11,10,12,10,15,lübeck; rõdu; suurgilt; leimus; erakogu; ekspositsioon; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
13,10,12,11,10,12,11,11,10,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
13,12,13,10,10,9,8,11,10,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
12,10,10,9,10,10,8,10,9,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
