EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,5,8,5,7,6,6,5,13,tootmisliin; ukraina; retk; skulptor; liibanon; alatskivi; lossipäev; viikingipäev
7,7,5,8,5,7,6,7,5,13,tootmisliin; ukraina; retk; skulptor; liibanon; alatskivi; lossipäev; viikingipäev
8,7,5,8,5,7,6,7,5,13,tootmisliin; ukraina; retk; skulptor; liibanon; alatskivi; lossipäev; viikingipäev
7,7,5,8,5,7,7,7,5,13,tootmisliin; ukraina; retk; skulptor; liibanon; alatskivi; lossipäev; viikingipäev
7,7,6,8,5,7,7,8,5,13,tootmisliin; ukraina; retk; skulptor; liibanon; alatskivi; lossipäev; viikingipäev
5,7,6,7,6,7,8,8,6,13,tootmisliin; ukraina; retk; skulptor; liibanon; alatskivi; lossipäev; viikingipäev
7,8,8,7,4,7,7,8,6,13,tootmisliin; ukraina; retk; skulptor; liibanon; alatskivi; lossipäev; viikingipäev
8,8,8,6,5,6,5,8,7,13,tootmisliin; ukraina; retk; skulptor; liibanon; alatskivi; lossipäev; viikingipäev
8,8,8,6,5,7,7,8,7,13,tootmisliin; ukraina; retk; skulptor; liibanon; alatskivi; lossipäev; viikingipäev
7,6,8,5,6,6,7,8,8,13,tootmisliin; ukraina; retk; skulptor; liibanon; alatskivi; lossipäev; viikingipäev
7,6,8,5,4,6,7,8,7,13,tootmisliin; ukraina; retk; skulptor; liibanon; alatskivi; lossipäev; viikingipäev
