EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,7,7,9,8,10,7,7,7,13,pruut; realism; laulumäng; ärkamisaeg; vigane; kirjandus; kosjasõit; kriitiline; kitzberg; komöödia; vilde
9,7,7,9,8,10,7,7,7,13,pruut; realism; laulumäng; ärkamisaeg; vigane; kirjandus; kosjasõit; kriitiline; kitzberg; komöödia; vilde
10,8,7,9,7,11,7,8,7,13,pruut; realism; laulumäng; ärkamisaeg; vigane; kirjandus; kosjasõit; kriitiline; kitzberg; komöödia; vilde
10,8,9,9,7,11,8,7,7,13,pruut; realism; laulumäng; ärkamisaeg; vigane; kirjandus; kosjasõit; kriitiline; kitzberg; komöödia; vilde
10,8,8,8,6,10,8,7,7,13,pruut; realism; laulumäng; ärkamisaeg; vigane; kirjandus; kosjasõit; kriitiline; kitzberg; komöödia; vilde
8,8,9,9,6,10,9,10,7,13,pruut; realism; laulumäng; ärkamisaeg; vigane; kirjandus; kosjasõit; kriitiline; kitzberg; komöödia; vilde
9,9,10,10,7,10,9,11,7,13,pruut; realism; laulumäng; ärkamisaeg; vigane; kirjandus; kosjasõit; kriitiline; kitzberg; komöödia; vilde
10,9,10,10,8,8,10,10,7,13,pruut; realism; laulumäng; ärkamisaeg; vigane; kirjandus; kosjasõit; kriitiline; kitzberg; komöödia; vilde
8,8,9,11,8,10,11,11,7,13,pruut; realism; laulumäng; ärkamisaeg; vigane; kirjandus; kosjasõit; kriitiline; kitzberg; komöödia; vilde
8,8,9,11,8,10,11,9,8,13,pruut; realism; laulumäng; ärkamisaeg; vigane; kirjandus; kosjasõit; kriitiline; kitzberg; komöödia; vilde
8,8,8,11,8,8,11,10,7,13,pruut; realism; laulumäng; ärkamisaeg; vigane; kirjandus; kosjasõit; kriitiline; kitzberg; komöödia; vilde
