EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,10,9,9,9,7,8,9,7,12,õiguskeel; ühisosa; keelekorraldus; krista; arengukava; meedia; kerge; hajumine; ilukirjandus; lingvistika; keel; haridus
11,10,10,10,9,7,8,9,7,12,õiguskeel; ühisosa; keelekorraldus; krista; arengukava; meedia; kerge; hajumine; ilukirjandus; lingvistika; keel; haridus
11,10,10,10,9,8,8,9,7,12,õiguskeel; ühisosa; keelekorraldus; krista; arengukava; meedia; kerge; hajumine; ilukirjandus; lingvistika; keel; haridus
11,10,10,10,9,8,8,9,7,12,õiguskeel; ühisosa; keelekorraldus; krista; arengukava; meedia; kerge; hajumine; ilukirjandus; lingvistika; keel; haridus
12,11,10,10,9,8,9,10,7,12,õiguskeel; ühisosa; keelekorraldus; krista; arengukava; meedia; kerge; hajumine; ilukirjandus; lingvistika; keel; haridus
9,12,10,10,9,11,10,10,7,12,õiguskeel; ühisosa; keelekorraldus; krista; meedia; arengukava; kerge; hajumine; ilukirjandus; lingvistika; keel; haridus
11,10,9,10,7,9,10,11,8,12,õiguskeel; ühisosa; keelekorraldus; krista; arengukava; meedia; kerge; hajumine; ilukirjandus; lingvistika; keel; haridus
10,10,10,10,7,10,11,9,8,12,õiguskeel; ühisosa; keelekorraldus; krista; meedia; arengukava; kerge; hajumine; ilukirjandus; lingvistika; haridus; keel
11,9,11,10,8,11,10,8,9,12,õiguskeel; ühisosa; keelekorraldus; krista; meedia; arengukava; kerge; hajumine; ilukirjandus; lingvistika; keel; haridus
12,11,9,9,9,8,10,10,9,12,õiguskeel; ühisosa; keelekorraldus; krista; arengukava; meedia; kerge; hajumine; ilukirjandus; lingvistika; keel; haridus
10,10,8,9,10,9,12,9,9,12,õiguskeel; ühisosa; keelekorraldus; krista; meedia; arengukava; kerge; hajumine; ilukirjandus; lingvistika; keel; haridus
