EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,5,4,3,4,3,3,2,5,12,kirik; propaganda; aeg; aasta; jessenin; hügieen
3,5,4,3,4,4,3,2,5,12,kirik; propaganda; aasta; aeg; jessenin; hügieen
3,6,4,3,4,3,5,3,5,12,kirik; propaganda; aasta; aeg; jessenin; hügieen
3,6,4,3,4,3,5,3,5,12,kirik; propaganda; aasta; aeg; jessenin; hügieen
3,5,5,3,4,4,5,3,5,12,kirik; propaganda; aasta; aeg; jessenin; hügieen
3,5,5,3,4,4,5,3,5,12,kirik; propaganda; aasta; aeg; jessenin; hügieen
4,5,5,5,5,4,4,3,5,12,kirik; propaganda; aeg; aasta; jessenin; hügieen
2,6,5,4,4,3,5,4,5,12,kirik; propaganda; aeg; aasta; jessenin; hügieen
3,5,3,5,4,4,5,5,4,12,kirik; propaganda; aeg; aasta; jessenin; hügieen
2,5,4,5,4,4,4,5,3,12,kirik; propaganda; aasta; aeg; jessenin; hügieen
4,5,3,4,4,4,5,5,3,12,kirik; propaganda; aasta; aeg; jessenin; hügieen
