EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,11,10,11,10,8,8,10,11,12,lahing; sõda; õppus; suur; kaitseliit; britt; nato; tehnika; väin; klubi; saar
11,11,11,11,10,9,8,10,11,12,lahing; sõda; õppus; suur; kaitseliit; britt; nato; tehnika; väin; klubi; saar
11,11,11,11,10,10,8,10,11,12,lahing; sõda; õppus; suur; kaitseliit; britt; nato; tehnika; väin; klubi; saar
11,11,11,11,10,10,8,10,11,12,lahing; sõda; õppus; suur; kaitseliit; britt; nato; tehnika; väin; klubi; saar
11,11,11,11,10,10,9,10,11,12,lahing; sõda; õppus; suur; kaitseliit; britt; nato; tehnika; väin; klubi; saar
11,11,11,11,11,10,10,11,11,12,lahing; sõda; õppus; suur; kaitseliit; britt; nato; tehnika; väin; klubi; saar
11,11,11,11,11,11,11,11,11,12,lahing; sõda; õppus; kaitseliit; suur; britt; nato; tehnika; väin; klubi; saar
11,11,11,11,11,11,11,11,11,12,lahing; sõda; õppus; suur; kaitseliit; britt; nato; tehnika; väin; klubi; saar
11,11,11,11,11,11,11,11,11,12,lahing; sõda; õppus; suur; kaitseliit; britt; nato; tehnika; väin; klubi; saar
11,10,11,11,11,11,11,11,10,12,lahing; sõda; õppus; suur; kaitseliit; britt; nato; tehnika; väin; klubi; saar
11,10,11,11,11,11,11,11,11,12,lahing; sõda; õppus; suur; kaitseliit; britt; nato; tehnika; väin; klubi; saar
