EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,6,5,6,8,6,8,6,18,staadion; maja; õppus; pärt; toomas; sadam; seto; hendrik; kalev; arvo
7,8,7,5,6,8,6,8,6,18,staadion; maja; õppus; pärt; toomas; sadam; seto; hendrik; kalev; arvo
7,8,6,5,6,10,5,8,6,18,õppus; sadam; hendrik; seto; kalev; staadion; maja; pärt; toomas; arvo
7,8,8,6,6,8,5,6,6,18,staadion; maja; pärt; õppus; toomas; sadam; seto; hendrik; kalev; arvo
8,8,8,6,6,10,5,8,6,18,õppus; sadam; hendrik; seto; kalev; staadion; maja; pärt; toomas; arvo
8,7,9,8,6,8,6,7,6,18,staadion; maja; õppus; pärt; toomas; sadam; seto; hendrik; kalev; arvo
8,6,8,7,7,7,6,9,7,18,õppus; sadam; hendrik; seto; kalev; staadion; maja; pärt; toomas; arvo
9,7,10,8,9,6,7,9,7,18,õppus; sadam; hendrik; kalev; seto; staadion; maja; pärt; toomas; arvo
8,5,9,8,9,7,7,9,6,18,õppus; sadam; hendrik; seto; kalev; staadion; maja; pärt; toomas; arvo
6,7,10,9,9,4,6,7,10,18,õppus; sadam; hendrik; seto; kalev; staadion; maja; pärt; toomas; arvo
7,6,7,8,9,6,6,8,10,18,õppus; sadam; hendrik; seto; kalev; staadion; maja; pärt; toomas; arvo
