EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,12,9,9,8,10,11,9,11,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
12,12,9,9,9,10,11,8,11,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
12,12,10,10,8,10,11,10,11,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
12,12,10,10,9,11,11,11,11,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
12,12,11,10,8,11,11,11,11,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
12,12,12,10,8,12,12,11,11,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
12,12,12,11,8,12,12,12,11,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
11,12,12,11,9,12,12,12,11,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
9,12,12,11,12,12,12,12,12,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
9,12,12,11,12,12,12,12,11,13,soots; koolitus; taul; valgamaa; kodukohvik; konkurent; ants; marika; mõis; turismitalu; piimaköök; riidaja
9,12,12,11,12,11,12,12,12,13,soots; koolitus; taul; valgamaa; kodukohvik; konkurent; ants; marika; mõis; turismitalu; piimaköök; riidaja
