EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,8,10,7,6,7,8,7,13,köler; ilus; fresko; lutsifer; villem; kirik; sakslane; stackelberg; kristus; eesti; kaarli
7,6,9,10,8,7,7,8,7,13,köler; ilus; fresko; lutsifer; villem; kirik; sakslane; stackelberg; kristus; eesti; kaarli
7,6,10,10,8,7,7,8,7,13,köler; ilus; fresko; lutsifer; villem; kirik; sakslane; stackelberg; kristus; eesti; kaarli
7,7,9,10,7,7,7,9,7,13,köler; ilus; fresko; lutsifer; villem; kirik; sakslane; stackelberg; kristus; eesti; kaarli
8,9,11,10,7,7,9,10,7,13,köler; ilus; fresko; lutsifer; villem; kirik; sakslane; stackelberg; kristus; eesti; kaarli
8,9,10,10,6,8,8,10,8,13,köler; ilus; fresko; lutsifer; villem; kirik; sakslane; stackelberg; kristus; eesti; kaarli
10,9,9,10,9,9,6,9,8,13,köler; ilus; fresko; lutsifer; kirik; villem; sakslane; stackelberg; kristus; eesti; kaarli
7,10,8,11,9,7,7,10,9,13,köler; ilus; fresko; lutsifer; villem; kirik; sakslane; stackelberg; kristus; eesti; kaarli
6,10,9,11,9,9,9,10,9,13,köler; ilus; fresko; kirik; villem; lutsifer; sakslane; stackelberg; kristus; eesti; kaarli
6,10,10,11,11,9,6,10,9,13,köler; ilus; fresko; kirik; villem; lutsifer; sakslane; stackelberg; kristus; eesti; kaarli
7,10,11,11,10,9,6,10,8,13,köler; ilus; fresko; kirik; villem; lutsifer; sakslane; stackelberg; kristus; eesti; kaarli
