EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,7,5,3,8,8,7,8,12,esinemine; näitleja; endel; vanemuine; nikerdamine; spinning; ani; karu; elmar; muusika; salulaht
10,9,7,4,3,8,7,7,8,12,esinemine; näitleja; endel; vanemuine; nikerdamine; spinning; ani; karu; elmar; muusika; salulaht
10,9,7,4,4,8,7,7,8,12,esinemine; näitleja; endel; vanemuine; nikerdamine; spinning; ani; karu; elmar; muusika; salulaht
10,9,7,7,5,8,7,8,8,12,esinemine; näitleja; endel; vanemuine; nikerdamine; spinning; ani; karu; elmar; muusika; salulaht
10,9,8,8,5,8,7,7,8,12,esinemine; näitleja; endel; vanemuine; nikerdamine; spinning; ani; karu; elmar; muusika; salulaht
8,9,8,10,6,9,9,8,8,12,esinemine; näitleja; endel; vanemuine; nikerdamine; spinning; ani; karu; elmar; muusika; salulaht
11,9,8,10,7,9,9,8,7,12,esinemine; näitleja; endel; vanemuine; nikerdamine; ani; spinning; karu; elmar; muusika; salulaht
9,9,10,9,8,6,8,9,5,12,esinemine; näitleja; endel; vanemuine; nikerdamine; ani; spinning; karu; elmar; muusika; salulaht
7,10,10,9,8,6,9,7,5,12,esinemine; näitleja; endel; vanemuine; nikerdamine; ani; spinning; karu; elmar; muusika; salulaht
4,8,10,9,8,8,8,8,9,12,esinemine; näitleja; endel; vanemuine; nikerdamine; ani; spinning; karu; elmar; muusika; salulaht
4,8,10,9,9,7,9,9,9,12,esinemine; näitleja; endel; nikerdamine; vanemuine; spinning; ani; karu; elmar; muusika; salulaht
