EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,4,9,4,3,2,5,5,14,kalju; mägi; puuvili; bassein; õhutramm; vanalinn; madeira; portugal; loodus; porto
7,7,4,9,4,4,3,5,4,14,kalju; mägi; puuvili; bassein; õhutramm; vanalinn; madeira; portugal; loodus; porto
8,7,4,9,4,5,5,6,4,14,mägi; puuvili; bassein; vanalinn; loodus; porto; kalju; õhutramm; madeira; portugal
8,7,5,9,5,6,5,5,4,14,mägi; puuvili; bassein; vanalinn; loodus; porto; kalju; õhutramm; madeira; portugal
8,7,7,9,6,5,5,6,6,14,mägi; puuvili; bassein; vanalinn; loodus; porto; kalju; õhutramm; madeira; portugal
6,7,7,9,7,7,7,6,5,14,kalju; mägi; puuvili; bassein; õhutramm; vanalinn; madeira; loodus; portugal; porto
7,7,8,10,6,6,6,8,4,14,mägi; puuvili; bassein; vanalinn; loodus; porto; kalju; õhutramm; madeira; portugal
5,8,10,9,7,6,7,8,5,14,mägi; puuvili; bassein; vanalinn; loodus; porto; kalju; õhutramm; madeira; portugal
6,6,10,10,7,6,7,9,5,14,mägi; puuvili; bassein; vanalinn; loodus; porto; kalju; õhutramm; madeira; portugal
8,6,9,8,8,5,7,7,7,14,kalju; mägi; puuvili; bassein; õhutramm; vanalinn; portugal; loodus; madeira; porto
6,6,10,7,7,5,6,7,6,14,mägi; puuvili; bassein; vanalinn; loodus; porto; kalju; õhutramm; portugal; madeira
