EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,12,7,7,7,9,8,10,11,14,napoleon; monogramm; loss; esimene; hobuserauakujuline; trepp; õukond; pariis; françois; favoriit; kuninglik; fantambel; renessanss
9,12,7,7,7,9,9,9,11,14,napoleon; monogramm; loss; esimene; hobuserauakujuline; trepp; õukond; pariis; françois; favoriit; kuninglik; fantambel; renessanss
9,11,7,7,7,9,9,8,9,14,napoleon; monogramm; loss; esimene; hobuserauakujuline; trepp; õukond; pariis; françois; favoriit; kuninglik; fantambel; renessanss
9,11,7,7,7,10,9,9,9,14,napoleon; monogramm; loss; esimene; hobuserauakujuline; trepp; õukond; pariis; françois; favoriit; kuninglik; fantambel; renessanss
9,12,8,7,10,11,10,9,10,14,napoleon; monogramm; loss; esimene; hobuserauakujuline; trepp; õukond; pariis; françois; favoriit; kuninglik; fantambel; renessanss
9,12,9,11,10,9,9,11,10,14,napoleon; monogramm; loss; esimene; hobuserauakujuline; trepp; õukond; pariis; françois; favoriit; kuninglik; fantambel; renessanss
8,11,11,10,10,12,10,10,9,14,napoleon; monogramm; loss; esimene; hobuserauakujuline; trepp; õukond; pariis; françois; favoriit; kuninglik; fantambel; renessanss
8,12,10,10,10,11,12,10,9,14,napoleon; monogramm; loss; esimene; hobuserauakujuline; trepp; õukond; pariis; françois; favoriit; kuninglik; fantambel; renessanss
9,10,8,10,11,11,10,8,9,14,napoleon; monogramm; loss; esimene; hobuserauakujuline; trepp; õukond; pariis; françois; favoriit; kuninglik; fantambel; renessanss
7,10,8,10,10,11,12,9,9,14,napoleon; monogramm; loss; esimene; hobuserauakujuline; trepp; õukond; pariis; françois; favoriit; kuninglik; fantambel; renessanss
6,10,8,10,10,11,11,8,8,14,napoleon; monogramm; loss; esimene; hobuserauakujuline; trepp; õukond; pariis; françois; favoriit; kuninglik; fantambel; renessanss
