EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,6,5,8,3,4,5,8,4,15,venemaa; narkootikum; umbusaldamine; haigekassa; palts; hellar; tõnis; keeld; bush; linnapea
8,7,7,7,4,4,5,9,4,15,kunstlik; palts; bush; linnapea; venemaa; viljastamine; narkootikum; umbusaldamine; haigekassa; hellar; tõnis; keeld
8,7,9,8,5,6,5,9,4,15,kunstlik; palts; bush; linnapea; venemaa; viljastamine; narkootikum; umbusaldamine; haigekassa; hellar; tõnis; keeld
8,7,9,8,8,6,6,9,4,15,kunstlik; palts; bush; linnapea; venemaa; viljastamine; narkootikum; umbusaldamine; haigekassa; hellar; tõnis; keeld
9,8,9,9,7,5,6,9,4,15,kunstlik; palts; bush; linnapea; venemaa; viljastamine; narkootikum; umbusaldamine; haigekassa; hellar; tõnis; keeld
10,8,10,8,7,8,9,11,5,15,kunstlik; palts; bush; linnapea; venemaa; viljastamine; narkootikum; umbusaldamine; haigekassa; hellar; tõnis; keeld
9,8,11,11,7,9,8,12,5,15,kunstlik; palts; bush; linnapea; venemaa; viljastamine; umbusaldamine; narkootikum; haigekassa; hellar; tõnis; keeld
9,9,12,11,8,8,9,11,5,15,kunstlik; palts; bush; linnapea; venemaa; viljastamine; umbusaldamine; narkootikum; haigekassa; hellar; keeld; tõnis
7,9,11,12,7,9,9,10,6,15,kunstlik; palts; bush; linnapea; venemaa; viljastamine; umbusaldamine; narkootikum; haigekassa; keeld; tõnis; hellar
9,10,12,11,8,9,9,9,7,15,kunstlik; palts; bush; linnapea; venemaa; viljastamine; narkootikum; umbusaldamine; haigekassa; keeld; tõnis; hellar
9,11,11,11,11,10,10,10,5,15,kunstlik; palts; bush; linnapea; venemaa; viljastamine; umbusaldamine; narkootikum; haigekassa; keeld; tõnis; hellar
