EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,11,9,10,10,11,11,10,10,13,admiral; ükssilm; röövretk; heino; kadri-ann; hobune; väli; jack; riisipirukas; silver; lampjalg
10,11,9,10,10,11,11,10,10,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
10,11,11,10,10,11,11,10,11,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
10,11,10,11,10,11,11,11,11,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
11,11,11,11,10,11,11,11,11,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
11,11,10,11,10,11,11,11,11,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
11,11,11,11,10,11,11,11,11,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
11,11,11,11,11,11,11,11,11,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
10,11,11,11,11,11,11,11,11,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
10,11,11,11,11,11,11,11,11,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
10,10,11,11,11,11,11,11,11,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
