EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,5,9,4,5,3,7,7,14,autor; kana; saaremaa; kirjanik; hint; liiber; koguma; raamatukogu; käekiri; saar
8,8,5,9,4,6,3,7,7,14,autor; kana; saaremaa; kirjanik; hint; liiber; koguma; raamatukogu; käekiri; saar
8,8,6,9,4,6,4,7,7,14,autor; kana; saaremaa; kirjanik; hint; liiber; koguma; raamatukogu; käekiri; saar
7,10,8,9,4,6,4,8,7,14,autor; kana; saaremaa; kirjanik; hint; liiber; koguma; raamatukogu; käekiri; saar
7,10,9,9,4,6,6,8,7,14,autor; kana; saaremaa; kirjanik; hint; liiber; koguma; raamatukogu; käekiri; saar
8,10,9,9,5,6,8,9,7,14,autor; kana; saaremaa; kirjanik; hint; liiber; koguma; raamatukogu; käekiri; saar
7,9,8,9,7,7,6,9,7,14,autor; kana; saaremaa; kirjanik; hint; liiber; koguma; raamatukogu; käekiri; saar
8,8,9,9,7,8,8,8,7,14,autor; kana; saaremaa; kirjanik; hint; liiber; koguma; raamatukogu; käekiri; saar
9,7,8,8,7,7,9,8,6,14,autor; kana; saaremaa; kirjanik; hint; liiber; koguma; raamatukogu; käekiri; saar
9,7,7,8,8,7,9,8,5,14,autor; kirjanik; hint; kana; saaremaa; koguma; liiber; raamatukogu; käekiri; saar
9,8,7,8,8,8,9,8,7,14,autor; kana; saaremaa; kirjanik; hint; liiber; koguma; raamatukogu; käekiri; saar
