EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,12,8,11,6,10,7,9,9,14,muusika; draiv; 2015; ansambel; kaks; merivoo-parro; kontsert; laul; eesti; maarja; raadio; tmw; bänd
12,11,8,11,7,10,7,10,9,14,muusika; draiv; 2015; ansambel; kaks; merivoo-parro; kontsert; laul; eesti; maarja; raadio; tmw; bänd
12,11,9,12,7,12,7,10,8,14,muusika; draiv; 2015; ansambel; kaks; merivoo-parro; kontsert; laul; eesti; maarja; raadio; tmw; bänd
12,11,11,12,6,12,8,10,8,14,muusika; draiv; 2015; ansambel; kaks; merivoo-parro; kontsert; laul; eesti; maarja; raadio; tmw; bänd
12,12,12,12,7,13,10,11,9,14,muusika; draiv; 2015; ansambel; kaks; merivoo-parro; kontsert; laul; eesti; maarja; raadio; tmw; bänd
13,11,13,12,8,12,11,11,9,14,muusika; draiv; 2015; ansambel; kaks; merivoo-parro; kontsert; laul; eesti; maarja; raadio; tmw; bänd
13,11,13,10,9,12,12,12,10,14,muusika; draiv; 2015; ansambel; kaks; merivoo-parro; kontsert; laul; eesti; maarja; raadio; tmw; bänd
12,12,13,11,9,9,10,12,10,14,muusika; draiv; 2015; ansambel; kaks; merivoo-parro; kontsert; maarja; eesti; laul; raadio; tmw; bänd
11,13,11,12,11,10,10,10,10,14,muusika; draiv; 2015; ansambel; kaks; merivoo-parro; kontsert; laul; eesti; maarja; raadio; tmw; bänd
11,12,10,12,12,10,10,12,12,14,muusika; draiv; 2015; ansambel; kaks; merivoo-parro; kontsert; eesti; laul; maarja; raadio; tmw; bänd
11,10,11,10,12,8,10,12,12,14,muusika; draiv; 2015; ansambel; kaks; merivoo-parro; kontsert; eesti; laul; maarja; raadio; tmw; bänd
