keyphrase;score
täna;0.4795
rääkida;0.4722
kuuldagi;0.4633
keresid;0.4585
lausa;0.4529
kuulasin;0.4464
kuulanud;0.4458
olidki;0.4457
kaasa;0.4446
presidendi;0.4438
jõuaksis;0.4399
rääkinud;0.4395
ütlen;0.4384
panin;0.4378
kuskile;0.4359
tänases;0.4349
kuskilt;0.4344
poliitikajuttu;0.4311
niipea;0.4305
ütleja;0.4291
lootsin;0.428
äkki;0.4275
saatusi;0.4267
ilmselt;0.4256
päevapealt;0.4251
tehadki;0.4248
peabki;0.424
ütles;0.4234
arvasid;0.423
hetkel;0.4227
kaotad;0.422
tänase;0.421
rääkis;0.4207
öeldes;0.4194
niiet;0.4193
jutusaate;0.4192
tunde;0.4189
asi;0.4186
tõi;0.4184
hetke;0.4183
joonisega;0.4173
ammu;0.4172
lõbusam;0.4169
tahab;0.4166
tulevalgel;0.4163
kuulajale;0.4162
ütleme;0.4159
jõuab;0.4157
jutuga;0.415
püüad;0.4147
poliitilisi;0.4142
räägitakse;0.4134
ütlesid;0.4129
tahaks;0.4127
hetkest;0.4117
poliitilist;0.4109
helistage;0.4106
ootan;0.4104
nõustusid;0.4103
vastaks;0.4102
tõenäoliselt;0.4074
jõudnud;0.4073
valimistepäeva;0.407
mikrofoni;0.4066
linnas;0.4059
suusatad;0.4059
tahangi;0.4057
käib;0.4054
palun;0.4052
laat;0.4048
saatega;0.4047
tudengeid;0.4033
jaksa;0.4033
üsnagi;0.4032
nii-öelda;0.4026
nimetan;0.4025
räägime;0.4024
ongi;0.4016
saatesse;0.401
seletad;0.4007
peatänaval;0.4006
kuuldusi;0.3995
toosunudki;0.3989
oleneb;0.3989
linna;0.3985
nimel;0.3982
toimub;0.3981
poliitilise;0.3973
jutu;0.3971
mõtled;0.3963
nõus;0.3962
öelda;0.396
vanalinnast;0.3957
unistasin;0.3954
öelnud;0.3954
korraks;0.3938
tahaksid;0.3928
tänav;0.3926
tahaksin;0.3921
suusataja;0.3919
mõtlete;0.3918
lõbustab;0.3917
suutnud;0.3917
soovin;0.3916
täitsa;0.3908
tervist;0.3904
toimuvad;0.3898
õhtul;0.3886
poliitilised;0.3886
eesti;0.3884
õnneks;0.3882
muusika;0.3882
pani;0.388
juhendasin;0.3877
püüavadki;0.3874
poliitiline;0.3874
kadus;0.3871
valmisolek;0.3867
loomulikult;0.3859
ütlema;0.3859
tinduriks;0.3855
ütlekas;0.385
lagu;0.3849
vajan;0.3837
elule;0.3829
hetk;0.3829
santana;0.3827
räägi;0.3823
valmis;0.3819
muuseas;0.3814
kõlas;0.381
hommikust;0.3808
puudutavadki;0.3805
ümbritsevast;0.3804
püüan;0.3801
tindur;0.3799
jäime;0.3797
elanud;0.3794
imikuga;0.3793
tean;0.3793
tähendab;0.3791
kostavad;0.3789
rääkimata;0.3785
täiest;0.3785
püüame;0.3781
samm;0.3779
ütlesin;0.3778
sõnavaras;0.3774
kaugem;0.3774
varem;0.3759
hääled;0.3755
carlos;0.3751
liivega;0.3747
inimest;0.3745
ühesõnaga;0.3734
sõidab;0.373
hiljem;0.3724
muusikat;0.3713
jama;0.3704
tundub;0.3702
lehitsesin;0.3692
arvamustega;0.3675
suudad;0.3662
kutsutud;0.3659
magad;0.3633
käisime;0.3626
marssida;0.3625
näen;0.3614
suunas;0.3611
tippnäitleja;0.361
juhuslikult;0.3608
kuulus;0.36
hiljuti;0.3597
moest;0.3592
kohas;0.3588
lähedased;0.3587
veidi;0.3571
paar;0.3539
kõvahäälselt;0.352
viimast;0.352
tänaval;0.3514
arutasime;0.3505
lõpuks;0.3499
leidsin;0.3499
patsutasin;0.349
situatsioonis;0.3489
mäleta;0.3487
pidupäev;0.348
valget;0.3478
paljudele;0.3461
otsisime;0.3445
küsimus;0.3437
istuvad;0.3423
muretse;0.3423
tsükliga;0.3404
šansi;0.3397
turistide;0.3333
intervjuus;0.3265
hilja;0.3238
ajakirjanduses;0.297
