Model,Average Score
MiniLM-L12_multi,0.16193861847464436
LaBSE,0.12021056720752989
MiniLM_multi,0.09558970814916495
est-roberta,0.0927564442703058
EstBERT,0.08783476403093628
bertMulti,0.06528381921881546
multi_e5,0.05138942544626708
distilbertMulti,0.031022492766031095
xml_roberta,0.0
