EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,3,6,4,2,1,2,3,1,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; mccain; lamar; jälitamiskohustus
7,3,6,4,2,1,2,3,1,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; mccain; lamar; jälitamiskohustus
7,3,6,4,2,1,2,3,1,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; mccain; lamar; jälitamiskohustus
7,3,6,4,2,1,2,3,1,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; mccain; lamar; jälitamiskohustus
7,3,6,4,2,1,2,3,2,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; mccain; lamar; jälitamiskohustus
7,3,8,4,2,1,2,3,3,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; mccain; lamar; jälitamiskohustus
7,3,8,4,2,1,2,3,2,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; mccain; lamar; jälitamiskohustus
7,3,7,2,2,1,2,3,3,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; mccain; lamar; jälitamiskohustus
6,3,7,4,2,1,3,3,3,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; mccain; lamar; jälitamiskohustus
5,3,7,3,2,1,3,3,3,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; mccain; lamar; jälitamiskohustus
4,3,8,4,2,1,2,3,4,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; mccain; lamar; jälitamiskohustus
