EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,3,5,6,4,4,7,3,13,martin; salaja; vangla; nurk; raamat; sidepidamine; ämber
3,1,3,6,6,4,4,7,3,13,martin; salaja; vangla; nurk; raamat; sidepidamine; ämber
3,1,3,6,6,4,4,7,2,13,martin; salaja; vangla; nurk; raamat; sidepidamine; ämber
3,1,3,5,6,4,4,7,2,13,martin; salaja; vangla; nurk; raamat; sidepidamine; ämber
3,1,3,5,6,4,4,7,2,13,martin; salaja; vangla; nurk; raamat; sidepidamine; ämber
3,1,3,5,6,4,4,7,2,13,martin; salaja; vangla; nurk; raamat; sidepidamine; ämber
3,1,3,6,6,4,4,7,2,13,martin; salaja; vangla; nurk; raamat; sidepidamine; ämber
3,1,3,6,6,4,4,7,2,13,martin; salaja; vangla; nurk; raamat; sidepidamine; ämber
3,1,3,5,6,4,4,7,2,13,martin; salaja; vangla; nurk; raamat; sidepidamine; ämber
3,1,3,5,6,4,4,7,2,13,martin; salaja; vangla; nurk; raamat; sidepidamine; ämber
3,1,3,5,6,4,4,7,2,13,martin; salaja; vangla; nurk; raamat; sidepidamine; ämber
