EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,0,3,2,1,3,2,3,1,12,armutu; kristjan; portaal; nobeli; port
1,0,3,2,1,3,2,3,1,12,armutu; kristjan; portaal; nobeli; port
1,0,3,2,1,3,2,3,1,12,armutu; kristjan; portaal; nobeli; port
1,0,3,2,1,3,2,3,1,12,armutu; kristjan; portaal; nobeli; port
1,0,3,2,1,3,2,3,1,12,armutu; kristjan; portaal; nobeli; port
1,0,4,2,1,3,2,3,1,12,armutu; kristjan; portaal; nobeli; port
1,0,4,2,1,3,3,3,1,12,armutu; kristjan; portaal; nobeli; port
1,0,4,2,1,3,3,3,1,12,armutu; kristjan; portaal; nobeli; port
1,0,3,3,1,3,3,3,1,12,armutu; kristjan; portaal; nobeli; port
1,0,4,2,1,2,2,3,1,12,armutu; kristjan; portaal; nobeli; port
1,0,4,3,1,2,2,3,1,12,armutu; kristjan; portaal; nobeli; port
