EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,2,3,2,2,3,4,3,3,12,koit; robert; friedrich; päike; faehlmann; hämarik
6,2,3,2,2,3,4,3,3,12,koit; robert; friedrich; päike; faehlmann; hämarik
6,2,3,2,2,3,4,3,3,12,koit; robert; friedrich; päike; faehlmann; hämarik
6,2,3,2,2,3,4,3,3,12,koit; robert; friedrich; päike; faehlmann; hämarik
6,2,3,2,2,3,4,3,3,12,koit; robert; friedrich; päike; faehlmann; hämarik
6,2,3,2,2,3,4,3,3,12,koit; robert; friedrich; päike; faehlmann; hämarik
5,2,3,1,2,3,4,3,3,12,koit; robert; friedrich; päike; faehlmann; hämarik
4,2,3,3,2,3,5,4,3,12,koit; robert; friedrich; päike; faehlmann; hämarik
4,2,3,4,2,3,5,5,3,12,koit; robert; friedrich; päike; faehlmann; hämarik
4,2,3,4,1,2,5,5,2,12,koit; robert; friedrich; päike; faehlmann; hämarik
4,2,3,5,1,2,5,5,2,12,koit; robert; friedrich; päike; faehlmann; hämarik
