EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,0,2,2,1,2,2,3,1,10,tulemus; akadeemia; riigikogu; teadus
0,0,2,2,1,2,2,3,1,10,tulemus; akadeemia; riigikogu; teadus
0,0,2,2,1,2,2,3,1,10,tulemus; akadeemia; riigikogu; teadus
0,0,2,2,1,2,2,3,1,10,tulemus; akadeemia; riigikogu; teadus
0,0,2,2,1,2,2,3,1,10,tulemus; akadeemia; riigikogu; teadus
0,0,2,2,1,2,2,3,1,10,tulemus; akadeemia; riigikogu; teadus
0,0,2,2,1,2,2,3,1,10,tulemus; akadeemia; riigikogu; teadus
0,0,2,2,1,2,2,3,1,10,tulemus; akadeemia; riigikogu; teadus
0,0,2,2,1,2,2,3,1,10,tulemus; akadeemia; riigikogu; teadus
0,0,2,2,1,2,2,3,1,10,tulemus; akadeemia; riigikogu; teadus
0,0,2,2,1,2,2,3,1,10,tulemus; akadeemia; riigikogu; teadus
