EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,1,3,0,2,3,2,2,1,12,trahv; karistus; port; facebook; kristjan; euroopa
2,1,3,0,2,3,2,2,1,12,trahv; karistus; port; facebook; kristjan; euroopa
2,1,3,0,2,3,2,2,0,12,trahv; karistus; port; facebook; kristjan; euroopa
2,1,3,0,2,3,2,2,0,12,trahv; karistus; port; facebook; kristjan; euroopa
2,1,3,0,2,3,2,2,0,12,trahv; karistus; port; facebook; kristjan; euroopa
2,1,3,0,2,3,2,2,0,12,trahv; karistus; port; facebook; kristjan; euroopa
1,1,3,2,2,3,2,2,0,12,trahv; karistus; port; facebook; kristjan; euroopa
2,1,4,2,2,3,2,2,0,12,trahv; karistus; port; facebook; kristjan; euroopa
1,2,4,1,2,2,2,3,0,12,trahv; karistus; port; facebook; kristjan; euroopa
1,2,4,1,2,3,2,0,0,12,trahv; karistus; port; facebook; kristjan; euroopa
1,2,3,1,4,3,2,1,1,12,trahv; karistus; port; facebook; kristjan; euroopa
