EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,3,5,4,5,4,6,6,15,kangekaelsus; eesti; kannatlikkus; jüri; jumala; johannese; ori; sõna
4,5,3,5,4,5,4,6,6,15,kangekaelsus; eesti; kannatlikkus; jüri; jumala; johannese; ori; sõna
4,5,3,5,4,5,4,6,6,15,kangekaelsus; eesti; kannatlikkus; jüri; jumala; johannese; ori; sõna
4,5,3,5,4,5,4,6,6,15,kangekaelsus; eesti; kannatlikkus; jüri; jumala; johannese; ori; sõna
4,5,3,5,4,5,4,6,6,15,kangekaelsus; eesti; kannatlikkus; jüri; jumala; johannese; ori; sõna
4,5,3,5,4,5,4,6,6,15,kangekaelsus; eesti; kannatlikkus; jüri; jumala; johannese; ori; sõna
4,5,3,5,4,5,4,6,6,15,kangekaelsus; eesti; kannatlikkus; jüri; jumala; johannese; ori; sõna
4,5,3,5,4,5,4,6,6,15,kangekaelsus; eesti; kannatlikkus; jüri; jumala; johannese; ori; sõna
4,5,3,5,4,5,4,6,6,15,kangekaelsus; eesti; kannatlikkus; jüri; jumala; johannese; ori; sõna
4,5,3,5,4,5,4,6,6,15,kangekaelsus; eesti; kannatlikkus; jüri; jumala; johannese; ori; sõna
4,5,3,5,4,5,4,6,6,15,kangekaelsus; eesti; kannatlikkus; jüri; jumala; johannese; ori; sõna
