EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,2,2,2,2,1,2,5,13,sonaat; vene; rumessen; muusika; jõud; vardo
3,2,2,2,2,2,1,2,5,13,sonaat; vene; rumessen; muusika; jõud; vardo
3,2,2,2,2,2,1,2,5,13,sonaat; vene; rumessen; muusika; jõud; vardo
3,2,1,2,2,2,1,2,5,13,sonaat; vene; rumessen; muusika; jõud; vardo
3,2,2,2,2,2,1,1,5,13,sonaat; vene; rumessen; muusika; jõud; vardo
3,2,0,2,2,2,1,2,5,13,sonaat; vene; rumessen; muusika; jõud; vardo
2,2,2,0,2,3,1,2,5,13,sonaat; vene; rumessen; muusika; jõud; vardo
4,2,0,3,2,1,1,1,5,13,sonaat; vene; rumessen; muusika; jõud; vardo
2,1,0,3,1,2,1,2,5,13,sonaat; vene; rumessen; muusika; jõud; vardo
1,0,0,2,2,1,1,2,4,13,sonaat; vene; rumessen; muusika; jõud; vardo
2,0,0,2,2,1,2,2,3,13,sonaat; vene; rumessen; muusika; jõud; vardo
