EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,4,2,2,3,3,5,5,10,vabadus; varandus; õigus; kolhoos; talu
3,1,4,2,2,3,3,5,4,10,vabadus; varandus; õigus; kolhoos; talu
3,1,4,2,2,3,3,5,4,10,vabadus; varandus; õigus; kolhoos; talu
3,1,4,2,2,3,3,5,4,10,vabadus; varandus; õigus; kolhoos; talu
3,1,4,2,2,3,3,5,4,10,vabadus; varandus; õigus; kolhoos; talu
3,1,4,2,2,3,3,5,4,10,vabadus; varandus; õigus; kolhoos; talu
3,1,4,2,2,3,3,5,4,10,vabadus; varandus; õigus; kolhoos; talu
3,1,4,2,2,3,3,5,4,10,vabadus; varandus; õigus; kolhoos; talu
3,1,5,2,2,3,3,5,4,10,vabadus; varandus; õigus; kolhoos; talu
3,1,5,2,2,3,3,5,4,10,vabadus; varandus; õigus; kolhoos; talu
3,1,5,2,2,3,3,5,4,10,vabadus; varandus; õigus; kolhoos; talu
