EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,8,3,4,4,5,6,6,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
6,7,8,3,4,4,5,6,6,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
6,7,8,3,4,4,5,6,6,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
6,7,8,3,4,4,5,6,6,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
6,7,7,3,3,4,5,6,6,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
6,7,7,3,3,4,5,6,6,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
6,7,7,3,3,4,5,6,6,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
6,7,7,2,3,4,5,8,6,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
5,7,7,4,4,4,6,7,6,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
5,6,5,4,4,4,6,7,6,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
5,6,5,4,5,4,5,7,5,14,senjoriita; televisiooni; kanada; donald; kasekamp; aasta; hääl; andres; trump; jäähoki
