EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,3,3,3,5,4,3,2,11,jõulud; aeg; jõulurõõmud; süsteem; vaba; tegutsemisaeg
4,3,3,3,3,5,4,3,2,11,jõulud; aeg; jõulurõõmud; süsteem; vaba; tegutsemisaeg
4,3,3,3,3,5,4,3,1,11,jõulud; aeg; jõulurõõmud; süsteem; vaba; tegutsemisaeg
4,3,3,3,3,5,4,3,1,11,jõulud; aeg; jõulurõõmud; süsteem; vaba; tegutsemisaeg
4,3,3,3,3,5,4,3,1,11,jõulud; aeg; jõulurõõmud; süsteem; vaba; tegutsemisaeg
4,3,3,3,3,5,4,3,1,11,jõulud; aeg; jõulurõõmud; süsteem; vaba; tegutsemisaeg
4,3,3,3,3,5,4,3,1,11,jõulud; aeg; jõulurõõmud; süsteem; vaba; tegutsemisaeg
4,3,3,2,3,5,4,4,1,11,jõulud; aeg; jõulurõõmud; süsteem; vaba; tegutsemisaeg
4,3,2,1,3,5,4,4,2,11,jõulud; aeg; jõulurõõmud; süsteem; vaba; tegutsemisaeg
4,3,2,1,3,5,4,4,1,11,jõulud; aeg; jõulurõõmud; süsteem; vaba; tegutsemisaeg
4,3,3,3,3,5,4,4,0,11,jõulud; aeg; jõulurõõmud; süsteem; vaba; tegutsemisaeg
