EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,2,2,1,1,1,2,2,5,13,heinsoo; hiiu; käär; merike; lili; sõna; lasteraamat
7,2,2,1,1,1,2,2,5,13,heinsoo; hiiu; käär; merike; lili; sõna; lasteraamat
7,2,2,1,1,1,2,2,5,13,heinsoo; hiiu; käär; merike; lili; sõna; lasteraamat
7,2,2,1,1,1,2,2,5,13,heinsoo; hiiu; käär; merike; lili; sõna; lasteraamat
7,2,2,1,1,1,2,2,5,13,heinsoo; hiiu; käär; merike; lili; sõna; lasteraamat
7,2,2,1,1,1,2,2,5,13,heinsoo; hiiu; käär; merike; lili; sõna; lasteraamat
7,2,2,1,1,1,3,2,5,13,heinsoo; hiiu; käär; merike; lili; sõna; lasteraamat
7,2,2,1,1,1,2,2,5,13,heinsoo; hiiu; käär; merike; lili; sõna; lasteraamat
4,2,2,2,1,1,2,2,5,13,heinsoo; hiiu; käär; merike; lili; sõna; lasteraamat
2,2,2,2,1,3,4,4,5,13,heinsoo; hiiu; käär; merike; lili; sõna; lasteraamat
3,2,2,2,1,2,1,4,6,13,heinsoo; hiiu; käär; merike; lili; sõna; lasteraamat
