EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,4,0,2,5,4,3,1,13,aeg; port; surfaja; kristjan; uudis; internet; tehnoloogia
3,3,4,0,2,5,4,3,1,13,aeg; port; surfaja; kristjan; uudis; internet; tehnoloogia
3,3,4,0,2,5,4,3,1,13,aeg; port; surfaja; kristjan; uudis; internet; tehnoloogia
2,3,4,0,2,5,4,3,1,13,aeg; port; surfaja; kristjan; uudis; internet; tehnoloogia
2,3,4,0,2,5,4,3,1,13,aeg; port; surfaja; kristjan; uudis; internet; tehnoloogia
2,3,6,0,2,5,4,3,1,13,aeg; port; surfaja; kristjan; uudis; internet; tehnoloogia
3,3,6,0,2,4,4,3,1,13,aeg; port; surfaja; kristjan; uudis; internet; tehnoloogia
3,3,6,0,2,4,4,3,1,13,aeg; port; surfaja; kristjan; uudis; internet; tehnoloogia
4,3,5,1,2,4,4,3,1,13,aeg; port; surfaja; kristjan; uudis; internet; tehnoloogia
3,3,5,1,2,4,4,3,1,13,aeg; port; surfaja; kristjan; uudis; internet; tehnoloogia
3,3,5,2,2,4,4,3,0,13,aeg; port; surfaja; kristjan; uudis; internet; tehnoloogia
