EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,3,2,2,1,2,2,1,11,arvamus; täiskasvanu; ants; enesetunnetus; tooming
5,3,3,2,2,1,2,2,1,11,arvamus; täiskasvanu; ants; enesetunnetus; tooming
5,3,3,2,2,1,2,2,1,11,arvamus; täiskasvanu; ants; enesetunnetus; tooming
5,3,3,2,2,1,2,2,1,11,arvamus; täiskasvanu; ants; enesetunnetus; tooming
5,3,3,2,2,1,2,2,1,11,arvamus; täiskasvanu; ants; enesetunnetus; tooming
5,3,3,2,2,1,2,2,1,11,arvamus; täiskasvanu; ants; enesetunnetus; tooming
5,3,3,2,2,1,2,2,1,11,arvamus; täiskasvanu; ants; enesetunnetus; tooming
5,3,3,2,2,1,2,2,1,11,arvamus; täiskasvanu; ants; enesetunnetus; tooming
5,3,3,2,2,1,2,2,1,11,arvamus; täiskasvanu; ants; enesetunnetus; tooming
5,3,3,2,2,1,2,2,1,11,arvamus; täiskasvanu; ants; enesetunnetus; tooming
5,3,3,2,2,1,2,2,1,11,arvamus; täiskasvanu; ants; enesetunnetus; tooming
