EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,4,4,3,3,3,3,2,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,4,4,4,3,3,3,3,2,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,4,4,4,3,3,3,3,2,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,4,4,4,3,3,3,3,2,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,4,4,4,3,3,3,3,2,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,4,4,4,3,3,3,3,2,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,4,4,4,3,3,3,3,2,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,4,4,4,3,3,3,3,2,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,4,4,5,3,3,3,3,2,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
3,4,4,5,3,3,3,3,2,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,4,4,5,3,3,3,3,2,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
