EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,4,5,4,4,3,3,1,10,koer; lausemall; määrus; eesmärk; öeldistäide
5,4,4,5,4,4,3,3,1,10,koer; lausemall; määrus; eesmärk; öeldistäide
5,4,4,5,4,4,3,3,1,10,koer; lausemall; määrus; eesmärk; öeldistäide
5,4,4,5,4,4,3,3,1,10,koer; lausemall; määrus; eesmärk; öeldistäide
5,4,4,5,4,4,3,3,1,10,koer; lausemall; määrus; eesmärk; öeldistäide
5,4,4,5,4,4,3,3,1,10,koer; lausemall; määrus; eesmärk; öeldistäide
5,4,4,5,4,4,3,3,1,10,koer; lausemall; määrus; eesmärk; öeldistäide
5,4,4,5,4,4,3,3,1,10,koer; lausemall; määrus; eesmärk; öeldistäide
5,4,4,5,4,4,3,3,1,10,koer; lausemall; määrus; eesmärk; öeldistäide
5,4,4,5,4,4,3,3,1,10,koer; lausemall; määrus; eesmärk; öeldistäide
5,4,4,5,4,4,3,3,1,10,koer; lausemall; määrus; eesmärk; öeldistäide
