EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,9,5,9,7,5,5,4,8,15,põlendik; jürgens; tõnu; lasmann; peeter; piret; kriivan; rõõm; autasu; toomas; kadri; naissoo
5,9,5,9,7,5,5,4,8,15,põlendik; jürgens; tõnu; lasmann; peeter; piret; kriivan; rõõm; autasu; toomas; kadri; naissoo
5,9,5,9,7,5,5,4,8,15,põlendik; jürgens; tõnu; lasmann; peeter; piret; kriivan; rõõm; autasu; toomas; kadri; naissoo
5,9,5,9,7,5,5,4,8,15,põlendik; jürgens; tõnu; lasmann; peeter; piret; kriivan; rõõm; autasu; toomas; kadri; naissoo
5,9,5,9,7,5,5,4,8,15,põlendik; jürgens; tõnu; lasmann; peeter; piret; kriivan; rõõm; autasu; toomas; kadri; naissoo
5,9,5,9,7,5,5,4,8,15,põlendik; jürgens; tõnu; lasmann; peeter; piret; kriivan; rõõm; autasu; toomas; kadri; naissoo
5,9,5,9,7,5,5,4,8,15,põlendik; jürgens; tõnu; lasmann; peeter; piret; kriivan; rõõm; autasu; toomas; kadri; naissoo
5,9,5,9,7,5,5,4,8,15,põlendik; jürgens; tõnu; lasmann; peeter; piret; kriivan; rõõm; autasu; toomas; kadri; naissoo
5,9,5,9,7,5,5,4,8,15,põlendik; jürgens; tõnu; lasmann; peeter; piret; kriivan; rõõm; autasu; toomas; kadri; naissoo
5,9,5,9,7,5,5,4,8,15,põlendik; jürgens; tõnu; lasmann; peeter; piret; kriivan; rõõm; autasu; toomas; kadri; naissoo
5,9,5,9,7,5,5,4,8,15,põlendik; jürgens; tõnu; lasmann; peeter; piret; kriivan; rõõm; autasu; toomas; kadri; naissoo
