EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,2,2,3,1,1,4,4,11,teistmoodi; väärtused; nurk; heino; seadused
3,2,2,2,3,1,1,4,4,11,teistmoodi; väärtused; nurk; heino; seadused
3,2,2,2,3,1,1,4,4,11,teistmoodi; väärtused; nurk; heino; seadused
3,2,2,2,3,1,1,4,4,11,teistmoodi; väärtused; nurk; heino; seadused
3,2,2,2,3,1,1,4,4,11,teistmoodi; väärtused; nurk; heino; seadused
3,2,2,2,3,1,1,4,4,11,teistmoodi; väärtused; nurk; heino; seadused
3,2,2,2,3,1,1,4,4,11,teistmoodi; väärtused; nurk; heino; seadused
3,2,2,2,3,1,1,4,4,11,teistmoodi; väärtused; nurk; heino; seadused
3,2,2,2,2,1,1,4,4,11,teistmoodi; väärtused; nurk; heino; seadused
3,2,2,2,2,1,1,4,4,11,teistmoodi; väärtused; nurk; heino; seadused
3,2,2,2,2,1,1,4,4,11,teistmoodi; väärtused; nurk; heino; seadused
