EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,4,4,2,6,5,4,5,3,12,soome; eesti; margo; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
7,4,4,2,6,5,4,5,3,12,soome; eesti; margo; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
7,4,4,2,6,5,4,5,3,12,soome; eesti; margo; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
7,4,4,2,6,5,4,5,3,12,soome; eesti; margo; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
7,4,3,2,6,5,4,5,3,12,soome; eesti; margo; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
7,4,5,2,6,6,3,5,3,12,soome; eesti; margo; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
4,4,7,4,6,6,4,2,3,12,soome; margo; eesti; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
7,4,6,5,6,7,4,7,3,12,soome; margo; eesti; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
3,4,4,5,5,8,5,6,3,12,soome; eesti; margo; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
4,4,4,3,5,8,4,4,3,12,soome; eesti; margo; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
2,4,5,3,5,7,4,3,4,12,soome; eesti; margo; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
