Keyword;Score
pulm;0.01866608876519929
teadma;0.01012253273849203
tähendama;0.007696663405622533
ütlema;0.007327630688547002
rääkima;0.00581323977750324
talupoeg;0.0057536940637251495
lausa;0.005288851805029787
täpselt;0.005263808559723204
Tallinn;0.00521883483024073
näiteks;0.005081798885384041
võtma;0.0048248307720131795
aeg;0.004424047451864471
kirik;0.004356501024530194
aadli;0.004209260501736757
suur;0.003859795636483434
nii-öelda;0.0037962094860685244
tollal;0.003650991776634994
pidu;0.003577902915926021
loomulikult;0.0033860404141889
aadlik;0.003361464619274148
aasta;0.0033522887522029815
paar;0.003331386611382625
käima;0.0033155558128671217
sõda;0.003123230961083246
tohtima;0.0030495775277565164
uhke;0.0029606122546501144
tegelikult;0.0029405265664241283
pakkuma;0.002786889870704148
panema;0.002767372681201626
sulg;0.0027668148620766282
abielluma;0.0027481929163573086
hiljem;0.002743705813027828
vein;0.0027088122683647242
pulmamäärus;0.002705397517422094
kõrge;0.002691198062276816
päev;0.002592837520606913
20;0.0024663257940680003
rukk;0.002461812983345682
raamat;0.002407834478799615
nägema;0.0023944590456238704
elama;0.0023885805918499935
jälle;0.0023877290137012887
1000;0.002339037567559427
siinne;0.002322852412741094
vaatama;0.0023117398734607236
must;0.002289871429979566
arve;0.002283412003440128
küsima;0.0022733024163797016
tähtis;0.002251809801866347
tollane;0.002205508635324173
kaupmees;0.002188945233530256
pulmapidu;0.0021644225312342606
tahtma;0.0021494585721067573
saksa;0.002111793109516694
lõpuks;0.002100774411542657
keelama;0.0020830903854195653
toit;0.0020596339653325482
paks;0.0020574786510831286
lugema;0.002054576703050209
tee;0.002054451864659509
Liivimaa;0.0020475662154046627
maha;0.002043872819518077
töö;0.002005563821794367
harilikult;0.001943401168627173
nimelt;0.001933943032759031
leidma;0.001931780048600724
sajand;0.0019271773311545185
juhtuma;0.0019225032132641308
Rakvere;0.0019222063801809567
natuke;0.001899742165890444
maa;0.0018925770371500637
tihti;0.0018924784222386086
kolm;0.0018853043909515695
käik;0.0018632017492241117
kord;0.0018600714819201976
vene;0.001853468046279518
ühiskond;0.0018474462786804678
küsimus;0.0018334656414139108
kullatud;0.0018307685431253485
kaks;0.0018228410048570461
algus;0.0018219943617191407
meel;0.0018210839379226233
maksma;0.0018044900418901371
viima;0.001792516818050783
kutsuma;0.001752398166613409
õlu;0.001746068920179005
eestantsija;0.001718587049605515
arvatavasti;0.0016840487471935772
riik;0.0016775065730270874
lubama;0.001673801542504468
kuus;0.0016698373079514777
lisama;0.0016607842837483694
Eesti;0.0016456593313574706
noor;0.0016412012253610025
tantsima;0.0016388437229900973
mees;0.0016320293079579932
kuld;0.001614199671766576
hoidma;0.001590514007848479
jaht;0.0015899518946113286
tooma;0.0015816116093705878
seltskond;0.0015770727799770663
Russow;0.001575535348973453
nimetama;0.0015704037934607606
täis;0.0015661207644932613
nädal;0.0015581585772478498
kallis;0.0015557142553118068
Liivi;0.0015523151389383795
perekond;0.0015469261243413151
eriti;0.0015441788248162177
joomine;0.0015375129828002865
venelane;0.0015250490596860709
kulutus;0.0015207534050102746
keskaeg;0.0015166142749870725
vaja;0.0015066709609802375
purjus;0.0015053350950700874
Riia;0.001503296043993995
algama;0.0015003927970230985
komme;0.0014870722993591621
muusik;0.0014778974030752777
üldse;0.001469310907991906
keel;0.0014682642991702553
vaevalt;0.0014574922411068308
rosin;0.0014456253241708335
tavaline;0.001445481779678237
varane;0.0014442657014799144
soust;0.0014380802146083266
seisus;0.0014362792849660253
terve;0.0014305679208834478
härg;0.0014201656716335011
inimene;0.0014125226710614762
andma;0.0014109754860763028
mõis;0.0014054548642281567
saade;0.001401206882290583
arvama;0.0013991939373579553
laud;0.0013907844381679433
üheksa;0.0013780794208911955
ratsutamine;0.0013724717948193803
sageli;0.0013577075657938548
no;0.0013295659505051783
kuulus;0.0013270662623342383
lõpp;0.001324367580681033
nimi;0.0013226582409305216
hulk;0.0013090281541982278
määrus;0.0013089661955952051
liha;0.0013055830403656185
Hertsog;0.0013035816006631918
luterlik;0.0012995171860435536
suu;0.0012955058461212056
müüma;0.0012840094168444529
riis;0.0012785589184977654
Novgorod;0.0012784450319347949
100;0.0012681014592613496
metslind;0.0012650889720782238
tütar;0.0012624521711760983
von;0.0012536618604388889
ajal;0.0012535851034744887
ametimees;0.0012494652801662673
paik;0.0012440307681361967
kaup;0.0012333715379172652
keskaegne;0.0012332420167879285
Põldsam;0.0012323336488918022
2000;0.0012290174579793406
võimalik;0.001223646525142452
kirjeldama;0.0012216821463791275
keetma;0.0012198991160054843
tsiteerima;0.0012161729120745348
uhkem;0.0012065365588997139
omamoodi;0.0012048004433336617
mainima;0.0012033006678045862
sada;0.001195397136423893
retsept;0.0011948414072609232
laev;0.0011770751839509388
maja;0.0011673246066554385
põsk;0.0011595364928040702
soodum;0.0011584729561292689
mandlipiim;0.0011493740483676336
Magnus;0.0011347988996230167
täitma;0.0011317007674073662
elanikkond;0.0011285391561581233
küla;0.0011205517758783577
