lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
jätkama;VERB;O;2;no;242503;1826;932020281;4.197279206046781
fotogool;NOUN;O;1;no;1;1826;932020281;548.0570946613848
ja;CCONJ;O;62;yes;30008401;1826;932020281;1.0545634779120863
tänane;ADJ;O;5;no;182212;1826;932020281;13.939924641186346
teema;NOUN;O;1;no;644030;1826;932020281;0.792834877691282
olema;AUX;O;106;yes;44175299;1826;932020281;1.2247551539411923
amazona;PROPN;O;4;no;24;1826;932020281;2136.562913582202
taaskord;NOUN;O;1;no;34994;1826;932020281;14.23337125752954
.;PUNCT;O;55;no;1;1826;932020281;30089.198082931576
see;PRON;O;45;yes;18819336;1826;932020281;1.2204750954560764
üks;DET;O;10;yes;3227082;1826;932020281;1.581497363408814
paik;NOUN;O;6;no;189767;1826;932020281;16.064215751454874
,;PUNCT;O;158;no;1;1826;932020281;86436.18922722472
kaupo;PROPN;O;2;no;7014;1826;932020281;128.5882382017315
kikkas;PROPN;O;2;no;1548;1826;932020281;411.9985455268209
mis;PRON;O;18;yes;9028438;1826;932020281;1.017615465415073
siin;ADV;O;1;yes;862092;1826;932020281;0.5925077083005339
ikka;ADV;O;3;yes;1124710;1826;932020281;1.3611619726585367
jälle;ADV;O;3;no;307793;1826;932020281;4.962931450902303
tõmbama;VERB;O;2;no;194731;1826;932020281;5.222063664261227
sina;PRON;O;6;yes;3764412;1826;932020281;0.8135857411393806
käima;VERB;O;8;no;1068320;1826;932020281;3.819738336972909
seal;ADV;O;14;yes;913842;1826;932020281;7.812597385157246
uurima;VERB;O;2;no;275215;1826;932020281;3.7000752266285417
kas;ADV;O;6;yes;2001493;1826;932020281;1.5298601317692095
see;DET;O;27;yes;18819336;1826;932020281;0.7323048661367288
juba;ADV;O;18;yes;1852141;1826;932020281;4.95848057525538
läbi;ADV;O;1;yes;954418;1826;932020281;0.5352471592711165
ei;AUX;O;15;yes;10371475;1826;932020281;0.7382257048020944
seekordne;ADJ;O;1;no;23991;1826;932020281;20.517111437526452
plaaning;NOUN;O;1;no;1;1826;932020281;548.0570946613848
rääkima;VERB;O;6;no;1111753;1826;932020281;2.753187244860551
veidi;ADV;O;3;no;286148;1826;932020281;5.337122072561145
teistsugune;DET;O;1;yes;60280;1826;932020281;8.353725005605307
amazonasest;PROPN;O;2;no;1;1826;932020281;1095.1152611108328
kuna;SCONJ;O;6;yes;980678;1826;932020281;3.120822059770846
mina;PRON;O;21;yes;11806985;1826;932020281;0.907837991216683
tõesti;ADV;O;5;yes;300214;1826;932020281;8.477660899582274
õige;ADV;O;1;no;400227;1826;932020281;1.2746775184235528
mitu;DET;O;3;yes;814408;1826;932020281;1.879192821057616
kord;NOUN;O;2;no;1307042;1826;932020281;0.7811812259310057
päris;ADV;O;2;yes;460557;1826;932020281;2.214060798297794
suur;ADJ;O;4;no;1643508;1826;932020281;1.2421234291464145
osa;NOUN;O;3;no;1001433;1826;932020281;1.5285660231873408
lugu;NOUN;O;1;no;456156;1826;932020281;1.118708786440414
raamatukaant;NOUN;O;1;no;1;1826;932020281;548.0570946613848
vahele;ADP;O;2;yes;149252;1826;932020281;6.803418544378137
saama;VERB;O;3;yes;7285159;1826;932020281;0.21028849469052271
siis;ADV;O;38;yes;4827992;1826;932020281;4.016785888079601
täna;ADV;O;2;no;620316;1826;932020281;1.644696989435649
hoopis;ADV;O;5;yes;292629;1826;932020281;8.696705845882637
mägine;ADJ;O;2;no;4479;1826;932020281;188.83033061930925
alane;NOUN;O;1;no;19318;1826;932020281;25.251746781942337
kust;ADV;O;2;yes;188383;1826;932020281;5.397166834054761
algama;VERB;O;1;no;404474;1826;932020281;1.261324101972084
ehk;CCONJ;O;10;yes;980699;1826;932020281;5.200625852939846
ant;NOUN;O;1;no;1085;1826;932020281;253.5167292475077
idakülg;NOUN;O;1;no;609;1826;932020281;331.8245650428327
paiknev;ADJ;O;1;no;23347;1826;932020281;21.061326962405236
või;CCONJ;O;15;yes;4123906;1826;932020281;1.8563583455622568
õigemini;ADV;O;2;no;17311;1826;932020281;56.00852999726036
hävima;ADJ;O;1;no;15457;1826;932020281;31.200668233831006
chachapoyast;NOUN;O;10;no;1;1826;932020281;5471.580592706417
kultuur;NOUN;O;7;no;145571;1826;932020281;24.394354209996816
kui;SCONJ;O;17;yes;8931430;1826;932020281;0.9715246864945303
muidu;ADV;O;2;yes;238354;1826;932020281;4.270056175655944
kujutama;VERB;O;1;no;141206;1826;932020281;3.5975482383538036
alati;ADV;O;1;yes;548893;1826;932020281;0.9300202166203224
ette;ADV;O;1;yes;726267;1826;932020281;0.7031752934257482
jõgi;NOUN;O;3;no;103008;1826;932020281;14.741012255826023
vesi;NOUN;O;5;no;442367;1826;932020281;5.7591235811501
mahlane;NOUN;O;1;no;8891;1826;932020281;52.05612630710691
loodus;NOUN;O;1;no;176459;1826;932020281;2.8826058030163906
vihmamets;NOUN;O;2;no;4560;1826;932020281;186.0453342067725
niiskus;NOUN;O;1;no;38418;1826;932020281;12.9948696547918
meeletu;ADJ;O;1;no;21676;1826;932020281;22.618008039153743
palavus;NOUN;O;1;no;4193;1826;932020281;99.77489969371085
aga;CCONJ;O;15;yes;4573369;1826;932020281;1.6739557473571667
kõik;PRON;O;6;yes;3161580;1826;932020281;0.968669900933011
võimalik;ADJ;O;4;no;944251;1826;932020281;2.161060274241678
ainult;ADV;O;2;yes;949084;1826;932020281;1.075523703639014
tänu;ADP;O;4;yes;332692;1826;932020281;6.122453279283146
et;SCONJ;O;33;yes;12219169;1826;932020281;1.3784396716849683
and;PROPN;O;2;no;135234;1826;932020281;7.503815904587983
sadama;VERB;O;1;no;47393;1826;932020281;10.581441694004962
vihm;NOUN;O;2;no;68021;1826;932020281;14.818274014467859
maha;ADV;O;2;no;411840;1826;932020281;2.4753730835569665
nii-öelda;ADV;O;13;no;15927;1826;932020281;393.6376280507966
mägi;NOUN;O;3;no;111844;1826;932020281;13.586054100998998
valguma;VERB;O;2;no;6611;1826;932020281;135.4583059020437
sealt;ADV;O;4;yes;263206;1826;932020281;7.733068775347234
alla;ADP;O;1;yes;636821;1826;932020281;0.8017968840660353
amazonase;PROPN;O;5;no;1;1826;932020281;2736.2897604591767
bassein;NOUN;O;2;no;41625;1826;932020281;24.00931131696724
lausa;ADV;O;2;no;160623;1826;932020281;6.324562040051839
kutsuma;VERB;O;4;no;330462;1826;932020281;6.163652184445117
inglise;ADJ;O;1;no;115537;1826;932020281;4.390424022038648
keel;NOUN;O;2;no;565820;1826;932020281;1.8028427108957084
peisin;PROPN;O;1;no;1;1826;932020281;548.0570946613848
eesti;ADJ;O;1;no;3051164;1826;932020281;0.1675400711730983
võima;AUX;O;2;yes;3045930;1826;932020281;0.33534985891969743
sisuliselt;ADV;O;2;no;66198;1826;932020281;15.220682853543105
