lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
stuudiokülaline;NOUN;O;1;no;517;3245;932020281;198.858061528204
täna;ADV;O;1;no;620316;3245;932020281;0.46382339224900715
olema;AUX;O;164;yes;44175299;3245;932020281;1.0662878053246465
usuteadus;NOUN;O;2;no;4724;3245;932020281;101.72642238240002
doktor;NOUN;O;2;no;17853;3245;932020281;30.62901713714827
toomas;PROPN;O;5;no;60247;3245;932020281;23.488750444992878
paul;PROPN;O;2;no;43966;3245;932020281;12.814968332844538
ja;CCONJ;O;116;yes;30008401;3245;932020281;1.1102593946941302
seekord;ADV;O;1;yes;141943;3245;932020281;2.016793163899431
mõtisklema;VERB;O;1;no;16218;3245;932020281;16.80169232883914
tema;PRON;O;37;yes;9154483;3245;932020281;1.1608401936499215
inimene;NOUN;O;42;no;2532682;3245;932020281;4.761601557335459
olemus;NOUN;O;1;no;63580;3245;932020281;4.466599603292517
.;PUNCT;O;172;no;1;3245;932020281;52948.81170266833
kui;SCONJ;O;52;yes;8931430;3245;932020281;1.672148292901839
mina;PRON;O;24;yes;11806985;3245;932020281;0.5838581235258424
kuulama;VERB;O;1;no;202805;3245;932020281;1.41432010636697
pidevalt;ADV;O;1;no;152216;3245;932020281;1.881508906651287
päevauudis;NOUN;O;1;no;658;3245;932020281;181.22370364577344
,;PUNCT;O;205;no;1;3245;932020281;63107.40368846521
et;SCONJ;O;63;yes;12219169;3245;932020281;1.480808109262982
kuskil;ADV;O;2;yes;132728;3245;932020281;4.30470313335884
sõdima;VERB;O;4;no;8495;3245;932020281;121.96869866221238
või;CCONJ;O;24;yes;4123906;3245;932020281;1.6713743037454996
mingi;DET;O;2;yes;1065792;3245;932020281;0.5393772870670539
terroriakt;NOUN;O;1;no;3197;3245;932020281;69.78637656992255
kord;NOUN;O;3;no;1307042;3245;932020281;0.659481028405156
saatma;VERB;O;1;no;381468;3245;932020281;0.7535286320930942
siis;ADV;O;31;yes;4827992;3245;932020281;1.844027705593915
võima;AUX;O;15;yes;3045930;3245;932020281;1.4143049965187728
jääma;VERB;O;11;no;1700286;3245;932020281;1.8576824167485826
mulje;NOUN;O;2;no;102002;3245;932020281;5.58966517131781
