lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
ütlema;VERB;O;13;no;1762423;4541;932020281;1.513662774777846
50.-te;ADJ;O;1;no;1;4541;932020281;220.97871502908976
aasta;NOUN;O;19;no;4056916;4541;932020281;0.9612480429243957
algus;NOUN;O;4;no;555196;4541;932020281;1.477923068698363
male;NOUN;O;21;no;7926;4541;932020281;486.68771759844947
tegema;VERB;O;39;yes;3824221;4541;932020281;2.092860200819066
järjepidevalt;ADV;O;1;no;11746;4541;932020281;16.262603957216392
sattuma;VERB;O;2;no;202984;4541;932020281;2.0176110966415086
ise;ADV;O;2;yes;3519608;4541;932020281;0.11686366947451483
täiesti;ADV;O;5;yes;326178;4541;932020281;3.1401056805014154
juhuslikult;ADV;O;2;no;25847;4541;932020281;15.363639930988427
suguvõsa;NOUN;O;1;no;14460;4541;932020281;13.395098176031325
sinna;ADV;O;6;yes;368635;4541;932020281;3.3347283921782385
malering;NOUN;O;1;no;240;4541;932020281;175.91642920679138
nii;ADV;O;33;yes;3438422;4541;932020281;1.9695666288440816
juurde;ADP;O;1;yes;555562;4541;932020281;0.370493869255507
jääma;VERB;O;8;no;1700286;4541;932020281;0.9657179860423271
siia;ADV;O;2;yes;220360;4541;932020281;1.8591869005465675
vend;NOUN;O;1;no;119545;4541;932020281;1.7113439750632327
õde;NOUN;O;1;no;89465;4541;932020281;2.280801094444874
ju;ADV;O;16;yes;846605;4541;932020281;3.8757736616145353
üksjagu;ADV;O;1;no;9852;4541;932020281;19.118808887509015
palju;ADV;O;13;yes;2035102;4541;932020281;1.310943150423689
laps;NOUN;O;4;no;1520720;4541;932020281;0.5401461170938806
kuus;NUM;O;3;no;173129;4541;932020281;3.5428312830572013
tulema;VERB;O;34;yes;3338518;4541;932020281;2.08994968130991
treener;NOUN;O;15;no;98167;4541;932020281;31.076150391855595
selline;DET;O;21;yes;1661084;4541;932020281;2.5938917678253075
aeg;NOUN;O;9;no;2446460;4541;932020281;0.7551476949994084
soiku;ADV;O;1;no;2525;4541;932020281;59.64026995289134
parajasti;ADV;O;1;no;20531;4541;932020281;9.606179376999316
niiviisi;ADV;O;26;no;14848;4541;932020281;338.23262521274364
üks;DET;O;22;yes;3227082;4541;932020281;1.399106462095842
minema;VERB;O;28;yes;2265890;4541;932020281;2.5356242524330947
keegi;PRON;O;7;yes;909939;4541;932020281;1.578325806666582
nagu;SCONJ;O;29;yes;1703742;4541;932020281;3.4921952363086057
sõjavägi;NOUN;O;1;no;33077;4541;932020281;6.062439349558288
uus;ADJ;O;4;no;1948565;4541;932020281;0.4216033273056096
kutsuma;VERB;O;1;no;330462;4541;932020281;0.6221525138463132
kokku;ADV;O;11;yes;904646;4541;932020281;2.494134792709756
vanem;NOUN;O;3;no;336166;4541;932020281;1.8293457413316598
esimene;ADJ;O;9;no;1425681;4541;932020281;1.2954756592023209
päev;NOUN;O;4;no;1364591;4541;932020281;0.6019044850329259
koht;NOUN;O;5;no;1152627;4541;932020281;0.8904269437233402
selgelt;ADV;O;1;no;90863;4541;932020281;2.2460654418977835
meel;NOUN;O;1;no;391428;4541;932020281;0.5254807119333926
kord;ADV;O;2;no;1307042;4541;932020281;0.31454999787651133
noh;INTJ;O;9;yes;116046;4541;932020281;15.799057279612079
kindel;ADJ;O;1;no;379882;4541;932020281;0.541412899239695
nüüd;ADV;O;22;yes;1119295;4541;932020281;4.031625013274755
julmalt;ADV;O;1;no;5072;4541;932020281;34.339927772049485
ometi;ADV;O;5;yes;104462;4541;932020281;9.745904275163829
jäänu;NOUN;O;1;no;3379;4541;932020281;47.825713949931725
kilingi;PROPN;O;1;no;1;4541;932020281;220.97871502908976
nõmmelane;NOUN;O;1;no;31;4541;932020281;214.09478788688173
lõpp;NOUN;O;3;no;549360;4541;932020281;1.120621061336645
sealt;ADV;O;4;yes;263206;4541;932020281;3.111685434184967
83.;ADJ;O;2;no;1;4541;932020281;440.9585018462428
àra;ADV;O;1;no;676;4541;932020281;128.218297510055
paide;NOUN;O;9;no;54891;4541;932020281;33.107173950317026
sügis;NOUN;O;2;no;134976;4541;932020281;3.027218146885461
kilingi-nõmmes;PROPN;O;1;no;175;4541;932020281;186.24556959806978
selline;ADJ;O;3;yes;1661084;4541;932020281;0.3710366327925765
saama;VERB;O;27;yes;7285159;4541;932020281;0.7607046456921244
võistkond;NOUN;O;31;no;86759;4541;932020281;72.56781455745083
tunduma;VERB;O;3;no;476788;4541;932020281;1.2908582467396899
hiilgeaasta;NOUN;O;1;no;39;4541;932020281;212.33091298477243
tüdruk;NOUN;O;1;no;180915;4541;932020281;1.133797092043979
champenaat;PROPN;O;1;no;1;4541;932020281;220.97871502908976
medal;NOUN;O;1;no;38749;4541;932020281;5.195875038782254
sümptonaat;NOUN;O;1;no;1;4541;932020281;220.97871502908976
õikima;VERB;O;1;no;1;4541;932020281;220.97871502908976
võitma;VERB;O;9;no;361078;4541;932020281;5.105224549973988
võistkondlik;ADJ;O;1;no;5042;4541;932020281;34.51237409541366
võistlus;NOUN;O;3;no;220635;4541;932020281;2.783215782882747
ära;ADV;O;16;yes;1434107;4541;932020281;2.289039959209711
kogu;DET;O;4;yes;815676;4541;932020281;1.0064981115909382
laiali;ADV;O;2;no;52332;4541;932020281;7.724224028366871
kolima;VERB;O;2;no;79697;4541;932020281;5.102669285426891
kotkas;PROPN;O;1;no;11938;4541;932020281;16.01999206604516
ettepanek;NOUN;O;1;no;192573;4541;932020281;1.0654897867355464
läksima;VERB;O;1;no;134;4541;932020281;193.40872445508404
linn;NOUN;O;4;no;630723;4541;932020281;1.301207785789784
2000;NUM;O;1;no;1;4541;932020281;220.97871502908976
elanik;NOUN;O;1;no;171564;4541;932020281;1.1952601715424631
suur;ADJ;O;8;no;1643508;4541;932020281;0.9990615772559134
sõitma;VERB;O;2;no;521379;4541;932020281;0.7876977688132589
pea;NOUN;O;5;yes;496234;4541;932020281;2.0660302412718123
ees;ADP;O;2;yes;378189;4541;932020281;1.0852028858673637
vesi;NOUN;O;1;no;442367;4541;932020281;0.4650983046629962
hüppamine;NOUN;O;1;no;4601;4541;932020281;37.263124355328976
ees;ADV;O;1;yes;378189;4541;932020281;0.5438306286437082
kuidas;ADV;O;11;yes;1325101;4541;932020281;1.7033012099634104
pesa;NOUN;O;1;no;40963;4541;932020281;4.921291872126502
elama;VERB;O;6;no;568404;4541;932020281;2.164636684563711
ühiselamu;NOUN;O;1;no;5133;4541;932020281;33.994547955157984
elamus;NOUN;O;1;no;36117;4541;932020281;5.564995274576672
internaat;NOUN;O;1;no;876;4541;932020281;114.03501661907534
