Method,Data_Type,Human_Group,F1 Score
TextRank,lemmas,keywords_lemma_M1,0.09721989288465092
TextRank,lemmas,keywords_lemma_M2,0.10340229960977611
TextRank,lemmas_LCF,keywords_lemma_M1,0.09703663516806783
TextRank,lemmas_LCF,keywords_lemma_M2,0.10347791559998633
TextRank,words,keywords_M1,0.06325029763124576
TextRank,words,keywords_M2,0.06800159821513325
TextRank,words_LCF,keywords_M1,0.06339341912404503
TextRank,words_LCF,keywords_M2,0.06771165194117604
SimpleMaths,lemmas,keywords_lemma_M1,0.05631715933628049
SimpleMaths,lemmas,keywords_lemma_M2,0.05542135888310461
SimpleMaths,lemmas_LCF,keywords_lemma_M1,0.05631535927493361
SimpleMaths,lemmas_LCF,keywords_lemma_M2,0.05541966923796588
SimpleMaths,words,keywords_M1,0.031049786660513907
SimpleMaths,words,keywords_M2,0.03126177970716399
SimpleMaths,words_LCF,keywords_M1,0.031030276688420455
SimpleMaths,words_LCF,keywords_M2,0.0312621851032679
