M,Method,word_limit,wordtype,score
M1,SimpleMaths,200,lemmas,0.34165886200715967
M1,SimpleMaths,50,lemmas,0.1305286324204022
M1,SimpleMaths,10,lemmas,0.047777777777777725
M1,TextRank,200,lemmas,0.512139294863108
M1,TextRank,50,lemmas,0.2996073916623452
M1,TextRank,10,lemmas,0.12055555555555567
M1,SimpleMaths,200,lemmas_LCF,0.352080780870126
M1,SimpleMaths,50,lemmas_LCF,0.1422890481456012
M1,SimpleMaths,10,lemmas_LCF,0.053333333333333274
M1,TextRank,200,lemmas_LCF,0.5134224567190253
M1,TextRank,50,lemmas_LCF,0.30364703460549697
M1,TextRank,10,lemmas_LCF,0.12277777777777789
M2,SimpleMaths,200,lemmas,0.3375895819484574
M2,SimpleMaths,50,lemmas,0.15112103254789006
M2,SimpleMaths,10,lemmas,0.06444444444444436
M2,TextRank,200,lemmas,0.5136283900949796
M2,TextRank,50,lemmas,0.32964203307108386
M2,TextRank,10,lemmas,0.138888888888889
M2,SimpleMaths,200,lemmas_LCF,0.3423586526276159
M2,SimpleMaths,50,lemmas_LCF,0.16035599998461186
M2,SimpleMaths,10,lemmas_LCF,0.06777777777777769
M2,TextRank,200,lemmas_LCF,0.5156039888139994
M2,TextRank,50,lemmas_LCF,0.33179318641741257
M2,TextRank,10,lemmas_LCF,0.14111111111111124
M1,SimpleMaths,200,words,0.32607089111152604
M1,SimpleMaths,50,words,0.16247119648306427
M1,SimpleMaths,10,words,0.06555555555555548
M1,TextRank,200,words,0.4341323697515647
M1,TextRank,50,words,0.23210406514328083
M1,TextRank,10,words,0.10388888888888881
M1,SimpleMaths,200,words_LCF,0.3001479012759975
M1,SimpleMaths,50,words_LCF,0.16017538074813603
M1,SimpleMaths,10,words_LCF,0.08111111111111101
M1,TextRank,200,words_LCF,0.43975649789762267
M1,TextRank,50,words_LCF,0.2343443023312735
M1,TextRank,10,words_LCF,0.11055555555555553
M2,SimpleMaths,200,words,0.3432481699205128
M2,SimpleMaths,50,words,0.16775064603534667
M2,SimpleMaths,10,words,0.0777777777777777
M2,TextRank,200,words,0.47165892186493324
M2,TextRank,50,words,0.26164294743783906
M2,TextRank,10,words,0.12277777777777785
M2,SimpleMaths,200,words_LCF,0.34586237347008775
M2,SimpleMaths,50,words_LCF,0.19629340751077076
M2,SimpleMaths,10,words_LCF,0.10666666666666666
M2,TextRank,200,words_LCF,0.4746497762070517
M2,TextRank,50,words_LCF,0.266044896609525
M2,TextRank,10,words_LCF,0.13111111111111118
