EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,5,3,4,1,4,0,3,2,15,lasmann; peeter; piret; kriivan; rõõm; põlendik; toomas; kadri; jürgens; meesnäitleja; enesekindlus
1,5,3,4,1,4,0,3,2,15,lasmann; peeter; piret; kriivan; rõõm; põlendik; toomas; kadri; jürgens; meesnäitleja; enesekindlus
1,5,3,4,1,4,0,3,2,15,lasmann; peeter; piret; kriivan; rõõm; põlendik; toomas; kadri; jürgens; meesnäitleja; enesekindlus
1,5,3,4,1,4,0,3,2,15,lasmann; peeter; piret; kriivan; rõõm; põlendik; toomas; kadri; jürgens; meesnäitleja; enesekindlus
1,5,3,4,1,4,0,3,2,15,lasmann; peeter; piret; kriivan; rõõm; põlendik; toomas; kadri; jürgens; meesnäitleja; enesekindlus
1,5,3,4,1,4,0,3,2,15,lasmann; peeter; piret; kriivan; rõõm; põlendik; toomas; kadri; jürgens; meesnäitleja; enesekindlus
1,5,3,4,1,4,0,3,2,15,lasmann; peeter; piret; kriivan; rõõm; põlendik; toomas; kadri; jürgens; meesnäitleja; enesekindlus
1,5,3,4,1,4,0,3,2,15,lasmann; peeter; piret; kriivan; rõõm; põlendik; toomas; kadri; jürgens; meesnäitleja; enesekindlus
1,5,3,4,1,4,0,3,2,15,lasmann; peeter; piret; kriivan; rõõm; põlendik; toomas; kadri; jürgens; meesnäitleja; enesekindlus
1,5,3,4,1,4,0,3,2,15,lasmann; peeter; piret; kriivan; rõõm; põlendik; toomas; kadri; jürgens; meesnäitleja; enesekindlus
1,5,3,4,1,4,0,3,2,15,lasmann; peeter; piret; kriivan; rõõm; põlendik; toomas; kadri; jürgens; meesnäitleja; enesekindlus
