EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,3,2,2,3,0,0,3,2,11,washington; teistmoodi; autoriteet; nurk; seadus; alandlikkus; ohtlik; heino
1,3,2,2,3,0,0,3,2,11,washington; teistmoodi; autoriteet; nurk; seadus; alandlikkus; ohtlik; heino
1,3,2,2,3,0,0,3,2,11,washington; teistmoodi; autoriteet; nurk; seadus; alandlikkus; ohtlik; heino
1,3,2,2,3,0,0,3,2,11,washington; teistmoodi; autoriteet; nurk; seadus; alandlikkus; ohtlik; heino
1,3,2,2,3,0,0,3,2,11,washington; teistmoodi; autoriteet; nurk; seadus; alandlikkus; ohtlik; heino
1,3,2,2,3,0,0,3,2,11,washington; teistmoodi; autoriteet; nurk; seadus; alandlikkus; ohtlik; heino
1,3,2,2,3,0,0,3,2,11,washington; teistmoodi; autoriteet; nurk; seadus; alandlikkus; ohtlik; heino
1,3,2,2,3,0,0,3,2,11,washington; teistmoodi; autoriteet; nurk; seadus; alandlikkus; ohtlik; heino
1,3,2,2,3,0,0,3,2,11,washington; teistmoodi; autoriteet; nurk; seadus; alandlikkus; ohtlik; heino
1,3,2,2,3,0,0,3,2,11,washington; teistmoodi; autoriteet; nurk; seadus; alandlikkus; ohtlik; heino
1,3,2,2,3,0,0,3,2,11,washington; teistmoodi; autoriteet; nurk; seadus; alandlikkus; ohtlik; heino
