EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,1,4,0,4,5,3,2,11,olümpia; barcelona; maailmameistrivõistlus; freddie; kümnevõistleja; muusika; mercury; andres; klassikaraadio; uunikum
3,4,1,4,0,4,5,3,2,11,olümpia; barcelona; maailmameistrivõistlus; freddie; kümnevõistleja; muusika; mercury; andres; klassikaraadio; uunikum
3,4,1,4,0,4,5,3,2,11,olümpia; barcelona; maailmameistrivõistlus; freddie; kümnevõistleja; muusika; mercury; andres; klassikaraadio; uunikum
3,4,1,4,0,4,5,3,2,11,olümpia; barcelona; maailmameistrivõistlus; freddie; kümnevõistleja; muusika; mercury; andres; klassikaraadio; uunikum
3,4,1,4,0,4,5,3,2,11,olümpia; barcelona; maailmameistrivõistlus; freddie; kümnevõistleja; muusika; mercury; andres; klassikaraadio; uunikum
3,4,1,4,0,4,5,3,2,11,olümpia; barcelona; maailmameistrivõistlus; freddie; kümnevõistleja; muusika; mercury; andres; klassikaraadio; uunikum
3,4,1,4,0,4,5,3,2,11,olümpia; barcelona; maailmameistrivõistlus; freddie; kümnevõistleja; muusika; mercury; andres; klassikaraadio; uunikum
3,4,1,4,0,4,5,3,2,11,olümpia; barcelona; maailmameistrivõistlus; freddie; kümnevõistleja; muusika; mercury; andres; klassikaraadio; uunikum
3,4,1,4,0,4,5,3,2,11,olümpia; barcelona; maailmameistrivõistlus; freddie; kümnevõistleja; muusika; mercury; andres; klassikaraadio; uunikum
3,4,1,4,0,4,5,3,2,11,olümpia; barcelona; maailmameistrivõistlus; freddie; kümnevõistleja; muusika; mercury; andres; klassikaraadio; uunikum
3,4,1,4,0,4,5,3,2,11,olümpia; barcelona; maailmameistrivõistlus; freddie; kümnevõistleja; muusika; mercury; andres; klassikaraadio; uunikum
