EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,1,0,4,4,2,2,0,11,etendus; sugulane; nutune; jaan; kruusvall; vastik; lahkumisavaldus
1,1,1,0,4,4,2,2,0,11,etendus; sugulane; nutune; jaan; kruusvall; vastik; lahkumisavaldus
1,1,1,0,4,4,2,2,0,11,etendus; sugulane; nutune; jaan; kruusvall; vastik; lahkumisavaldus
1,1,1,0,4,4,2,2,0,11,etendus; sugulane; nutune; jaan; kruusvall; vastik; lahkumisavaldus
1,1,1,0,4,4,2,2,0,11,etendus; sugulane; nutune; jaan; kruusvall; vastik; lahkumisavaldus
1,1,1,0,4,4,2,2,0,11,etendus; sugulane; nutune; jaan; kruusvall; vastik; lahkumisavaldus
1,1,1,0,4,4,2,2,0,11,etendus; sugulane; nutune; jaan; kruusvall; vastik; lahkumisavaldus
1,1,1,0,4,4,2,2,0,11,etendus; sugulane; nutune; jaan; kruusvall; vastik; lahkumisavaldus
1,1,1,0,4,4,2,2,0,11,etendus; sugulane; nutune; jaan; kruusvall; vastik; lahkumisavaldus
1,1,1,0,4,4,2,2,0,11,etendus; sugulane; nutune; jaan; kruusvall; vastik; lahkumisavaldus
1,1,1,0,4,4,2,2,0,11,etendus; sugulane; nutune; jaan; kruusvall; vastik; lahkumisavaldus
