EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,3,2,4,3,3,3,4,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
5,5,3,2,4,3,3,3,4,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
5,5,3,2,4,3,3,3,4,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
5,5,3,2,4,3,3,3,4,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
5,5,3,2,4,3,3,3,4,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
5,5,3,2,4,3,3,3,4,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
5,5,3,2,4,3,3,3,4,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
5,5,3,2,4,3,3,3,4,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
5,5,3,2,4,3,3,3,4,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
5,5,3,2,4,3,3,3,4,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
5,5,3,2,4,3,3,3,4,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
