EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,2,1,1,0,0,0,2,11,arvamus; nägemus; peegel; õppimine
1,1,2,1,1,0,0,0,2,11,arvamus; nägemus; peegel; õppimine
1,1,2,1,1,0,0,0,2,11,arvamus; nägemus; peegel; õppimine
1,1,2,1,1,0,0,0,2,11,arvamus; nägemus; peegel; õppimine
1,1,2,1,1,0,0,0,2,11,arvamus; nägemus; peegel; õppimine
1,1,2,1,1,0,0,0,2,11,arvamus; nägemus; peegel; õppimine
1,1,2,1,1,0,0,0,2,11,arvamus; nägemus; peegel; õppimine
1,1,2,1,1,0,0,0,2,11,arvamus; nägemus; peegel; õppimine
1,1,2,1,1,0,0,0,2,11,arvamus; nägemus; peegel; õppimine
1,1,2,1,1,0,0,0,2,11,arvamus; nägemus; peegel; õppimine
1,1,2,1,1,0,0,0,2,11,arvamus; nägemus; peegel; õppimine
