EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,0,0,1,0,0,0,2,0,15,janek; baltika; salme
0,0,0,1,0,0,0,2,0,15,janek; baltika; salme
0,0,0,1,0,0,0,2,0,15,janek; baltika; salme
0,0,0,1,0,0,0,2,0,15,janek; baltika; salme
0,0,0,1,0,0,0,2,0,15,janek; baltika; salme
0,0,0,1,0,0,0,2,0,15,janek; baltika; salme
0,0,0,1,0,1,0,2,0,15,janek; salme; volkov
0,0,1,0,0,2,1,2,0,15,janek; baltika; salme
0,0,1,0,0,1,1,2,0,15,janek; baltika; salme
0,0,0,0,0,1,3,2,0,15,baltika; salme; janek
0,2,0,2,0,1,1,0,0,15,baltika; volkov; peeter
