EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,5,2,2,4,2,2,7,3,13,ema; leib; märt; isik; tomusk; ilmar; martin; sool; kõrvaline; isa; pius
3,5,2,2,4,2,2,7,4,13,ema; leib; märt; isik; tomusk; ilmar; martin; sool; kõrvaline; isa; pius
3,5,2,2,4,2,2,7,4,13,ema; leib; märt; isik; tomusk; ilmar; martin; sool; kõrvaline; isa; pius
3,5,2,2,4,2,2,7,4,13,ema; leib; märt; isik; tomusk; ilmar; martin; sool; kõrvaline; isa; pius
3,5,2,2,4,2,2,7,4,13,ema; leib; märt; isik; tomusk; ilmar; martin; sool; kõrvaline; isa; pius
3,5,2,2,4,2,2,7,4,13,ema; leib; märt; isik; tomusk; ilmar; martin; sool; kõrvaline; isa; pius
3,5,1,2,4,2,2,7,4,13,ema; leib; märt; isik; tomusk; ilmar; martin; sool; kõrvaline; isa; pius
3,5,2,4,4,2,2,7,4,13,ema; leib; märt; isik; tomusk; ilmar; martin; sool; kõrvaline; isa; pius
4,5,2,4,4,2,2,8,4,13,ema; leib; märt; isik; tomusk; ilmar; martin; sool; kõrvaline; isa; pius
3,5,2,5,4,2,1,8,4,13,ema; leib; märt; isik; tomusk; ilmar; martin; sool; kõrvaline; isa; pius
3,4,2,3,4,2,1,9,4,13,ema; leib; märt; isik; tomusk; ilmar; martin; sool; kõrvaline; isa; pius
