EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,1,1,2,1,1,1,2,12,lasteporno; tarkus; john; seadusalgatus; mccain; lamar; internetiteenus; jälitamiskohustus
3,3,1,1,2,1,1,1,3,12,lasteporno; tarkus; john; seadusalgatus; mccain; lamar; internetiteenus; jälitamiskohustus
3,3,1,1,2,1,1,1,3,12,lasteporno; tarkus; john; seadusalgatus; mccain; lamar; internetiteenus; jälitamiskohustus
3,3,1,1,2,1,1,1,3,12,lasteporno; tarkus; john; seadusalgatus; mccain; lamar; internetiteenus; jälitamiskohustus
3,3,1,1,2,1,1,1,3,12,lasteporno; tarkus; john; seadusalgatus; mccain; lamar; internetiteenus; jälitamiskohustus
3,3,1,1,2,1,1,1,3,12,lasteporno; tarkus; john; seadusalgatus; mccain; lamar; internetiteenus; jälitamiskohustus
3,3,1,1,2,1,1,1,3,12,lasteporno; tarkus; john; seadusalgatus; mccain; lamar; internetiteenus; jälitamiskohustus
3,3,1,1,2,1,1,1,3,12,lasteporno; tarkus; john; seadusalgatus; mccain; lamar; internetiteenus; jälitamiskohustus
4,3,1,1,2,1,1,1,3,12,lasteporno; tarkus; john; internetiteenus; mccain; lamar; seadusalgatus; jälitamiskohustus
4,3,1,1,2,1,1,1,3,12,lasteporno; tarkus; john; internetiteenus; mccain; lamar; seadusalgatus; jälitamiskohustus
2,1,1,1,1,2,1,2,3,12,lasteporno; tarkus; seadusalgatus; kristjan; internetiteenus; lamar; john; mccain
