Model name,F1 score
EstBERT,5.1553262123128745
est-roberta,5.600102069020027
LaBSE,10.818481468137671
bertMulti,2.7051617392838145
distilbertMulti,2.102156709496588
MiniLM_multi,9.282998763848608
MiniLM-L12_multi,11.263725898286657
multi_e5,10.815068283624711
xml_roberta,3.0662560128619902
EstBERT,5.1553262123128745
est-roberta,5.600102069020027
LaBSE,10.818481468137671
bertMulti,2.7051617392838145
distilbertMulti,2.155066762406641
MiniLM_multi,9.282998763848608
MiniLM-L12_multi,11.263725898286657
multi_e5,10.859512728069157
xml_roberta,3.1510777754615305
EstBERT,5.1553262123128745
est-roberta,5.600102069020027
LaBSE,10.85432376204448
bertMulti,2.7051617392838145
distilbertMulti,2.155066762406641
MiniLM_multi,9.282998763848608
MiniLM-L12_multi,11.263725898286657
multi_e5,10.859512728069157
xml_roberta,3.183757514023622
EstBERT,5.1553262123128745
est-roberta,5.600102069020027
LaBSE,10.817736807295372
bertMulti,2.7051617392838145
distilbertMulti,2.155066762406641
MiniLM_multi,9.282998763848608
MiniLM-L12_multi,11.263725898286657
multi_e5,10.813216431772862
xml_roberta,3.026180656119968
EstBERT,5.1553262123128745
est-roberta,5.600102069020027
LaBSE,9.574519185752703
bertMulti,2.6588654429875187
distilbertMulti,2.155066762406641
MiniLM_multi,9.167383306431617
MiniLM-L12_multi,11.263725898286657
multi_e5,10.768876778237805
xml_roberta,3.1103076402469516
EstBERT,5.202652137416577
est-roberta,5.409320658821442
LaBSE,8.840084309107095
bertMulti,2.7051617392838145
distilbertMulti,2.155066762406641
MiniLM_multi,8.512605852044764
MiniLM-L12_multi,11.315103048282566
multi_e5,10.365550526059703
xml_roberta,3.1515729592900485
EstBERT,4.81153285891807
est-roberta,5.3129633818185455
LaBSE,8.424586956369216
bertMulti,2.5787957776438235
distilbertMulti,2.2055718129116912
MiniLM_multi,8.66495981200587
MiniLM-L12_multi,10.212957287891495
multi_e5,10.032752096858667
xml_roberta,3.1572527442572724
EstBERT,4.810193016238358
est-roberta,5.342930564132472
LaBSE,8.214361287711375
bertMulti,2.535708748503742
distilbertMulti,2.155066762406641
MiniLM_multi,8.411056832996636
MiniLM-L12_multi,9.96514759992681
multi_e5,9.189414126002665
xml_roberta,3.247516647021175
EstBERT,5.149089917407887
est-roberta,5.080449088755482
LaBSE,8.18207943455036
bertMulti,2.8658013010053622
distilbertMulti,2.102156709496588
MiniLM_multi,8.637497418962708
MiniLM-L12_multi,9.391075645519802
multi_e5,9.013288464800635
xml_roberta,3.2554531549576833
EstBERT,4.909076039787915
est-roberta,4.878061014559684
LaBSE,8.240316159239127
bertMulti,2.9530012409267306
distilbertMulti,2.1578725985458105
MiniLM_multi,8.15817346350838
MiniLM-L12_multi,9.43596631050894
multi_e5,8.457293073989241
xml_roberta,3.1575208663268843
EstBERT,4.468834089065911
est-roberta,4.684359147979553
LaBSE,7.793367587631754
bertMulti,3.2732677877608403
distilbertMulti,2.343207553445983
MiniLM_multi,7.97231614985632
MiniLM-L12_multi,9.19533148184737
multi_e5,8.561745188285903
xml_roberta,3.2394649510487468
