EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,0,2,1,0,2,0,1,0,12,liialdus; seitse; surmapattu; paul; toomas
1,0,2,1,0,2,0,0,0,12,seitse; surmapattu; paul; toomas
1,0,2,1,0,2,0,0,0,12,seitse; surmapattu; paul; toomas
1,0,2,1,0,2,0,0,0,12,seitse; surmapattu; paul; toomas
1,0,2,1,0,2,0,0,0,12,seitse; surmapattu; paul; toomas
1,0,2,1,0,2,0,0,0,12,seitse; surmapattu; paul; toomas
0,0,2,1,0,2,0,0,0,12,seitse; surmapattu; paul; toomas
0,0,2,0,0,2,2,0,0,12,seitse; surmapattu; paul; toomas
0,0,2,0,0,2,2,0,0,12,seitse; surmapattu; paul; toomas
0,0,2,0,0,2,2,0,0,12,seitse; surmapattu; süü; paul; toomas
0,0,3,2,0,2,4,1,0,12,seitse; süü; toomas; liialdus; surmapattu; paul
