EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,0,4,0,0,2,4,1,0,12,soome; eesti; margo; võistlus; naisekandmine; ulrich; birgit; uusorg
4,0,4,0,0,2,4,1,0,12,soome; eesti; margo; võistlus; naisekandmine; ulrich; birgit; uusorg
4,0,4,0,0,2,4,1,0,12,soome; eesti; margo; võistlus; naisekandmine; ulrich; birgit; uusorg
4,0,4,0,0,2,4,1,0,12,soome; eesti; margo; võistlus; naisekandmine; ulrich; birgit; uusorg
4,0,4,0,0,2,4,1,0,12,soome; eesti; margo; võistlus; naisekandmine; ulrich; birgit; uusorg
4,0,4,0,0,2,4,1,0,12,soome; eesti; margo; võistlus; naisekandmine; ulrich; birgit; uusorg
3,0,5,0,0,2,6,1,0,12,soome; eesti; margo; võistlus; naisekandmine; ulrich; birgit; uusorg
4,1,5,0,0,3,5,1,0,12,margo; soome; eesti; võistlus; naisekandmine; ulrich; birgit; uusorg
2,1,5,0,0,3,5,1,0,12,margo; soome; eesti; võistlus; naisekandmine; ulrich; birgit; uusorg
3,0,4,2,1,2,5,1,0,12,soome; eesti; margo; võistlus; naisekandmine; ulrich; birgit; uusorg
4,1,4,3,1,3,5,1,0,12,soome; eesti; margo; võistlus; naisekandmine; ulrich; birgit; uusorg
