EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,5,2,0,0,1,2,0,15,piret; peeter; lasmann; kriivan; rõõm; põlendik; toomas; kadri; jürgens
3,3,5,2,0,0,1,2,0,15,piret; peeter; lasmann; kriivan; rõõm; põlendik; toomas; kadri; jürgens
3,3,5,2,0,0,1,2,0,15,piret; peeter; lasmann; kriivan; rõõm; põlendik; toomas; kadri; jürgens
3,3,5,2,0,0,1,2,0,15,piret; peeter; lasmann; kriivan; rõõm; põlendik; toomas; kadri; jürgens
3,3,5,2,0,0,1,2,0,15,piret; peeter; lasmann; kriivan; rõõm; põlendik; toomas; kadri; jürgens
3,3,5,2,0,0,1,2,0,15,piret; peeter; lasmann; kriivan; rõõm; põlendik; toomas; kadri; jürgens
3,3,5,2,0,0,1,2,0,15,piret; peeter; lasmann; kriivan; rõõm; põlendik; toomas; kadri; jürgens
3,3,5,2,0,0,1,2,0,15,piret; peeter; lasmann; kriivan; rõõm; põlendik; toomas; kadri; jürgens
3,3,5,2,0,0,1,2,0,15,piret; peeter; lasmann; kriivan; rõõm; põlendik; toomas; kadri; jürgens
3,3,5,2,0,0,1,2,0,15,piret; peeter; lasmann; kriivan; rõõm; põlendik; toomas; kadri; jürgens
3,3,5,2,0,0,1,2,0,15,piret; peeter; lasmann; kriivan; rõõm; põlendik; toomas; kadri; jürgens
