EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,1,2,1,0,3,2,1,0,10,kuuba; ladina-ameerika; gloria
2,1,2,1,0,3,2,2,0,10,kuuba; ladina-ameerika; gloria
2,1,2,1,0,3,2,1,0,10,kuuba; ladina-ameerika; gloria
2,1,2,1,0,3,2,1,0,10,kuuba; ladina-ameerika; gloria
2,1,2,1,0,3,2,1,0,10,kuuba; ladina-ameerika; gloria
2,1,2,1,0,3,2,2,0,10,kuuba; ladina-ameerika; gloria
0,1,2,1,0,3,2,1,0,10,kuuba; ladina-ameerika; gloria
0,1,3,0,0,3,2,1,0,10,kuuba; ladina-ameerika; gloria
0,1,2,0,0,3,2,2,0,10,kuuba; ladina-ameerika; gloria
0,0,3,0,0,3,2,2,0,10,kuuba; ladina-ameerika; gloria
0,0,3,0,0,3,2,1,0,10,kuuba; ladina-ameerika; gloria
