EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,2,0,0,1,1,2,1,10,vabadus; kolhoos; varandus; õigus
1,1,2,0,0,1,1,2,1,10,vabadus; kolhoos; varandus; õigus
1,1,2,0,0,1,1,2,1,10,vabadus; kolhoos; varandus; õigus
1,1,2,0,0,1,1,2,1,10,vabadus; kolhoos; varandus; õigus
1,1,2,0,0,1,1,2,1,10,vabadus; kolhoos; varandus; õigus
1,1,2,0,0,1,1,2,1,10,vabadus; kolhoos; varandus; õigus
1,1,2,0,0,1,1,2,1,10,vabadus; kolhoos; varandus; õigus
0,1,2,0,0,1,1,2,1,10,vabadus; kolhoos; varandus; õigus
1,1,2,0,1,1,1,2,1,10,vabadus; kolhoos; varandus; õigus
1,1,2,0,0,1,1,2,1,10,vabadus; kolhoos; varandus; õigus
1,1,2,0,0,1,1,3,1,10,vabadus; kolhoos; varandus; õigus
