EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,1,4,0,2,1,5,3,0,15,kangekaelsus; eesti; kannatlikkus; jüri; johannese; jumala; ori; sõna
0,1,4,0,2,1,5,3,0,15,kangekaelsus; eesti; kannatlikkus; jüri; johannese; jumala; ori; sõna
0,1,4,0,2,1,5,3,0,15,kangekaelsus; eesti; kannatlikkus; jüri; johannese; jumala; ori; sõna
0,1,4,0,2,1,5,3,0,15,kangekaelsus; eesti; kannatlikkus; jüri; johannese; jumala; ori; sõna
0,1,4,0,2,1,5,3,0,15,kangekaelsus; eesti; kannatlikkus; jüri; johannese; jumala; ori; sõna
0,1,4,0,2,1,5,3,0,15,kangekaelsus; eesti; kannatlikkus; jüri; johannese; jumala; ori; sõna
0,1,4,0,2,1,5,3,0,15,kangekaelsus; eesti; kannatlikkus; jüri; johannese; jumala; ori; sõna
0,1,4,0,2,1,5,3,0,15,kangekaelsus; eesti; kannatlikkus; jüri; johannese; jumala; ori; sõna
0,1,4,0,2,1,5,3,0,15,kangekaelsus; eesti; kannatlikkus; jüri; johannese; jumala; ori; sõna
0,1,4,0,2,1,5,3,0,15,kangekaelsus; eesti; kannatlikkus; jüri; johannese; jumala; ori; sõna
0,1,4,0,2,1,5,3,0,15,kangekaelsus; eesti; kannatlikkus; jüri; johannese; jumala; ori; sõna
