EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,4,2,2,2,3,2,0,14,senjoriita; kanada; donald; kasekamp; aasta; hääl; andres; trump
4,4,4,2,2,2,3,2,0,14,senjoriita; kanada; donald; kasekamp; aasta; hääl; andres; trump
4,4,4,2,2,2,3,2,0,14,senjoriita; kanada; donald; kasekamp; aasta; hääl; andres; trump
4,4,4,2,2,2,3,2,0,14,senjoriita; kanada; donald; kasekamp; aasta; hääl; andres; trump
4,4,4,2,2,2,3,2,0,14,senjoriita; kanada; donald; kasekamp; aasta; hääl; andres; trump
4,4,4,2,2,2,3,2,0,14,senjoriita; kanada; donald; kasekamp; aasta; hääl; andres; trump
5,4,4,2,2,2,3,2,0,14,senjoriita; kanada; donald; kasekamp; aasta; hääl; andres; trump
4,4,4,2,2,2,4,2,0,14,senjoriita; kanada; donald; kasekamp; aasta; hääl; andres; trump
3,4,4,2,2,2,3,2,0,14,senjoriita; kanada; donald; aasta; kasekamp; hääl; andres; trump
4,4,4,1,2,2,3,2,0,14,senjoriita; kanada; donald; kasekamp; aasta; hääl; andres; trump
3,2,3,1,2,3,4,2,0,14,senjoriita; kanada; donald; kasekamp; aasta; hääl; andres; trump
