EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,0,2,0,1,3,4,0,0,13,vangla; nurk; raamat; martin; salaja
0,0,2,0,1,3,4,0,0,13,vangla; nurk; raamat; martin; salaja
0,0,2,0,1,3,4,0,0,13,vangla; nurk; raamat; martin; salaja
0,0,2,0,1,3,4,0,0,13,vangla; nurk; raamat; martin; salaja
0,0,2,0,1,3,4,0,0,13,vangla; nurk; raamat; martin; salaja
0,0,2,0,1,3,4,0,0,13,vangla; nurk; raamat; martin; salaja
0,0,2,0,1,3,4,0,0,13,vangla; nurk; raamat; martin; salaja
0,0,2,0,1,3,4,0,0,13,vangla; nurk; raamat; martin; salaja
0,0,2,0,1,3,4,0,0,13,vangla; nurk; raamat; martin; salaja
0,0,2,0,1,3,4,0,0,13,vangla; nurk; raamat; martin; salaja
0,0,2,0,1,3,4,0,0,13,vangla; nurk; raamat; martin; salaja
